unigram,frequency
mabuk,4
hpnya,4
canggih,4
onno,4
purbo,4
klau,4
jim,4
harun,4
positif,4
denger,4
betah,4
inyiakputiahl,4
njir,4
talenta,4
kacau,4
catat,4
kalimantan,4
urusin,4
gali,4
omm,4
dikadalin,4
ndak,4
hina,4
beres,4
wait,4
ungkap,4
pulisi,4
random,4
loe,4
konotasi,4
libat,3
gambar,3
primitif,3
ter,3
ampun,3
panas,3
sen,3
lemah,3
pdhl,3
efek,3
china,3
ngalamin,3
motoin,3
kagak,3
poto,3
kakak,3
mabok,3
hahahaha,3
kam,3
luar,3
top,3
nasi,3
stnk,3
ikhlas,3
lahh,3
hong,3
kong,3
lurah,3
begal,3
syukur,3
bner,3
kota,3
tuan,3
olah,3
penasaran,3
akar,3
lintas,3
pegawai,3
hmm,3
musibah,3
rampok,3
pintu,3
henti,3
karaoke,3
ituu,3
preman,3
alami,3
lantas,3
selesai,3
singkat,3
ariesbast,3
ngejar,3
fotoin,3
hehehe,3
suap,3
jirr,3
ketua,3
satpam,3
job,3
banjir,3
ayom,3
jauh,3
calo,3
kedung,3
baruk,3
ready,3
ortu,3
informasi,3
wkwkwkwkw,3
temennya,3
pajak,3
smk,3
waduhh,3
embel,3
tempat,3
tambang,3
emas,3
budaya,3
standar,3
part,3
masak,3
gamau,3
pusat,3
pensiun,3
fix,3
tebus,3
nomer,3
kabar,3
cepu,3
brp,3
otak,3
alhamdulillah,3
bet,3
darah,3
istilah,3
nunggu,3
titik,3
lancar,3
kirain,3
alamat,3
brimob,3
ratus,3
persen,3
uud,3
ngimpi,3
malas,3
dateng,3
covid,3
ruang,3
kecoh,3
kanan,3
nkri,3
ciri,3
sandio,3
giring,3
opini,3
ijasah,3
tampil,3
konferensi,3
pers,3
ferry,3
rumit,3
kalok,3
strategi,3
mumpuni,3
klarifikasi,3
telegram,3
vidio,3
ide,3
bjirlah,3
mahal,3
ngerti,3
pegasus,3
medsos,3
resmi,3
logika,3
broo,3
celaka,3
dar,3
bocil,3
dukun,3
cash,3
sila,3
tetap,3
bocorin,3
sosial,3
msih,3
status,3
mampus,3
bot,3
lumayan,3
dor,3
police,3
wajib,3
katakata,3
makasih,3
love,3
nipu,3
alumni,3
lelucon,3
meme,3
untk,3
pancing,3
dng,3
issue,3
ledak,3
ampe,3
keponakan,3
konyol,3
daengriyung,3
gabung,3
lue,3
nyawa,3
identitas,3
halus,3
hackers,3
puji,3
kecewa,3
total,3
sayang,3
better,3
gaduh,3
ngemil,3
awam,3
scurity,3
hamil,3
more,3
bjoker,3
merka,3
berantas,3
rumahproduksi,3
nyimpen,3
kwkwkw,3
kedetek,3
invest,3
handal,3
judolnya,3
knpa,3
inggris,3
kadal,3
curanmor,3
ngasal,3
tuntut,3
dagang,3
doi,3
jejak,3
naik,3
nutupin,3
gokil,3
mie,3
pilem,3
sembarang,3
bahaya,3
nilai,3
nihh,3
project,3
jebol,3
nagkap,3
teroris,3
bunuh,3
tsb,3
alur,3
cybersecurity,3
cepet,3
ketawain,3
kanjoed,3
zelda,3
pen,3
ong,3
ngundang,3
pejabat,3
badan,3
smua,3
diem,3
blg,3
ngelawak,3
blum,3
dek,3
jga,3
pulici,3
malaysia,3
narasi,3
jenius,3
batas,3
wajar,3
nyenggol,3
ayah,3
