bigram,frequency
allah rumah,1
rumah mobil,1
mobil motor,1
motor biji,1
biji moga,1
moga kena,1
kena dzalim,1
dzalim biar,1
biar allah,1
allah balas,1
balas nya,1
nya doa,1
doa usaha,1
usaha saja,1
saja guyss,1
ngomong bener,1
sama smk,1
smk tidak,1
dalem duit,1
daerah saja,1
saja fomo,1
fomo fotoin,1
fotoin doang,1
doang trus,1
trus diri,1
diri tepi,1
tepi jalan,1
betul sampah,1
sampah instansi,1
sudah memang,1
memang uang,1
uang kuasa,1
kuasa wanita,1
wanita tuju,1
bet ihh,1
fakta instansi,1
instansi gin,1
pin dedd,1
iya wkwkw,1
jadi pulang,1
pulang sekolah,1
sekolah beli,1
beli warung,1
warung makan,1
makan pas,1
pas ehh,1
ehh oknum,1
tni ngajak,1
ngajak foto,1
foto pegang,1
pegang bungkus,1
bungkus bakal,1
bakal habis,1
habis sosialisasi,1
daging bobrok,1
butuh liberasi,1
liberasi liberasi,1
liberasi yntv,1
nyata guna,1
guna masyarakat,1
masyarakat polisi,1
tidur karna,1
karna bantu,1
bantu amplopin,1
byorka palsu,1
palsu tangkap,1
aduh banjir,1
banjir fakta,1
bagaimana biar,1
biar warga,1
indonesia percaya,1
percaya pikir,1
pikir itu,1
itu budengan,1
budengan edar,1
edar berita,1
sudah lucu,1
lucu didenger,1
didenger bjorka,1
bjorka brojol,1
brojol ditangkep,1
ditangkep kemaren,1
kemaren itu,1
sip bro,1
bro dari,1
dari pimpin,1
pimpin yang,1
yang mimpin,1
mimpin orang,1
yang mental,1
mental bawahanya,1
bawahanya ikuttapi,1
ikuttapi mimpi,1
mimpi integritas,1
integritas yang,1
jujur adil,1
adil bawah,1
bawah yang,1
yang untuk,1
untuk tdak,1
tdak kurang,1
nyata tidak,1
tidak istilah,1
istilah oknum,1
oknum institusi,1
institusi sudah,1
sudah biang,1
kerok kriminal,1
buset post,1
post lgsg,1
lgsg ribu,1
ribu fakta,1
fakta wkwkw,1
wkwkw selamat,1
selamat bro,1
bro sudah,1
sudah warga,1
yang alam,1
wihh fakta,1
fakta ini,1
tuju bang,1
bang nunggu,1
nunggu polsek,1
polsek jam,1
jam pagi,1
pagi jam,1
jam tidak,1
tidak titik,1
titik terang,1
terang lapor,1
lapor lempar,1
lempar lempar,1
lempar orang,1
orang beda,1
beda telpon,1
telpon temen,1
yang polda,1
polda bantu,1
bantu temen,1
yang mabes,1
tidak set,1
set jam,1
jam langsung,1
langsung kasatreskrimnya,1
kasatreskrimnya langsung,1
langsung telepon,1
telepon haha,1
haha kocak,1
kocak institusi,1
alam unik,1
unik sadap,1
sadap pacar,1
pacar jarak,1
jarak yang,1
sekarang istri,1
istri lihat,1
lihat posisi,1
posisi dimana,1
dimana ambil,1
ambil gmbar,1
gmbar jadulnya,1
jadulnya tau,1
tau obrol,1
obrol tlp,1
tlp nya,1
nya masuk,1
masuk sms,1
sms tarik,1
tarik hibur,1
hibur sekarang,1
sekarang lupa,1
lupa tua,1
empat uap,1
uap coba,1
coba cek,1
cek warkop,1
warkop dekat,1
ngk bantaj,1
bantaj fakta,1
seperti nya,1
ajak foto,1
foto sama,1
sama polisi,1
jujur iya,1
iya banget,1
banget nemuin,1
nemuin isilop,1
isilop perempatan,1
perempatan pagi,1
pagi pagi,1
silau fakta,1
memang fakta,1
fakta sendiri,1
sendiri bagaimana,1
bagaimana kerja,1
polisi gerak,1
gerak uang,1
uang luar,1
luar negeri,1
negeri siang,1
siang malam,1
malam polisi,1
patroli kalau,1
kalau negara,1
polisi lomba,1
lomba lomba,1
lomba besar,1
besar perut,1
bobyenugraha salam,1
salam selip,1
selip amplop,1
gada adul,1
adul duit,1
duit urus,1
urus lancar,1
lancar gada,1
gada gera,1
lingkung beda,1
beda bang,1
memang seperti,1
gitu damkar,1
damkar tangan,1
tangan lapor,1
lapor kirain,1
kirain satset,1
satset jujur,1
jujur amanah,1
amanah seperti,1
anjroott bner,1
bner banget,1
daerah itu,1
itu kasi,1
kasi tau,1
tau alamat,1
alamat biar,1
biar mutasi,1
mutasi oknum,1
istilah darah,1
daging hapus,1
hapus uninstall,1
uninstall update,1
update sistem,1
sistem aplikasi,1
aplikasi yang,1
benerr lagi,1
insiden deng,1
deng brimob,1
brimob anggota,1
anggota brimob,1
brimob hasil,1
hasil visum,1
visum lapor,1
lapor mabes,1
mabes brimob,1
brimob smpai,1
ratus persen,1
persen percaya,1
polisi ayom,1
lindung telekk,1
nama budi,1
konoha cengi,1
cengi sama,1
sama bijorka,1
fakta mobil,1
mobil kena,1
tipu uud,1
cerita polisi,1
polisi mafia,1
orang males,1
males nangkep,1
anak pank,1
pank bilang,1
bilang bjorka,1
biar pura,1
pura pinter,1
pinter ntrus,1
ntrus rubah,1
rubah nama,1
nama instansi,1
instansi baek,1
baek ngimpi,1
ngimpi malas,1
foto real,1
real banget,1
saya mintain,1
mintain ngefoto,1
ngefoto pas,1
pas nongkrong,1
nongkrong deket,1
deket simpang,1
simpang dateng,1
dateng langsung,1
langsung foto,1
foto acting,1
acting selesai,1
selesai foto,1
foto langsung,1
langsung cus,1
cus ilang,1
polisi film,1
emis berseragamm,1
polisi jujur,1
real tugas,1
tugas hari,1
hari lepas,1
lepas phl,1
phl salur,1
salur bantu,1
bantu covid,1
covid dari,1
dari kantor,1
kantor pos,1
pos bawa,1
bawa uang,1
uang milyaran,1
milyaran takut,1
takut kenapa,1
kenapa vulici,1
vulici lokal,1
yang ditugasin,1
ditugasin standby,1
standby dateng,1
dateng saja,1
saja tugas,1
tugas habis,1
foto ruang,1
ruang trus,1
trus pergi,1
pergi menit,1
fakta pribadi,1
pribadi alami,1
jokowi tereset,1
tereset counter,1
counter berita,1
berita gempar,1
gempar heboh,1
heboh publik,1
lupa jokowi,1
jokowi ulang,1
ulang sadar,1
sadar tarik,1
tarik kebelankang,1
kebelankang siap,1
siap kalah,1
kalah gempar,1
gempar publik,1
lupa banyak,1
banyak jokowi,1
jokowi keluarga,1
keluarga bentuk,1
bentuk korupsi,1
korupsi nya,1
sop solo,1
solo oligarki,1
oligarki parcok,1
parcok bentuk,1
bentuk manusia,1
manusia malu,1
malu moral,1
moral jahat,1
jahat masuk,1
masuk dalam,1
dalam sistem,1
sistem betapa,1
bobrok tahan,1
tahan seret,1
seret upaya,1
upaya apa,1
apa kotor,1
kotor apa,1
apa jokowi,1
jokowi culas,1
culas bohong,1
bohong tipu,1
tipu sen,1
sen kanan,1
kanan belok,1
belok kiri,1
kiri dalang,1
dalang dalang,1
dalang khianat,1
khianat nkri,1
nkri penting,1
penting keluarga,1
keluarga serta,1
serta termul,1
termul nya,1
ciri khas,1
khas kerja,1
india tukang,1
tukang rekayasa,1
sudah bjirka,1
fufufafa alih,1
alih peran,1
kaumrebahanmerapat fery,1
fery irwandi,1
irwandi tidak,1
tidak singgung,1
singgung saya,1
saya heran,1
kaumrebahanmerapat buzzer,1
buzzer bang,1
kaumrebahanmerapat yaelahh,1
yaelahh saja,1
yang cocok,1
cocok log,1
log kesini,1
kaumrebahanmerapat lomba,1
lomba arang,1
arang jamin,1
jamin dpt,1
dpt juara,1
cocok tidak,1
tidak cocok,1
cocok kenyataanya,1
kenyataanya yang,1
bela termul,1
jokowi sudah,1
sudah serius,1
serius nanya,1
sandio tidak,1
yang rumor,1
rumor ijazah,1
palsu jokowi,1
stres judol,1
wew buzzer,1
jokowi langsung,1
langsung nongol,1
nongol haha,1
haha sipaling,1
sipaling giring,1
opini biar,1
biar saya,1
saya sebutin,1
sebutin haha,1
haha panas,1
panas saja,1
saja jahat,1
jahat struktural,1
struktural sistematis,1
sistematis mobil,1
esemka ijazah,1
palsu bagaimana,1
jokowi roy,1
suryo sudah,1
sudah salin,1
salin yang,1
yang diserahin,1
diserahin jokowi,1
jokowi kpu,1
kpu pilpres,1
pilpres ijasah,1
ijasah yang,1
yang tampil,1
tampil polisi,1
polisi konferensi,1
pers klaim,1
klaim identik,1
identik anak,1
anak claim,1
claim kuliah,1
kuliah singapur,1
singapur kampus,1
kampus singapur,1
singapur gibran,1
gibran kuliah,1
sana tipu,1
tipu hahaha,1
hahaha bagaimana,1
bagaimana bagaimana,1
kaumrebahanmerapat iya,1
iya saya,1
saya buzzer,1
buzzer mobil,1
esemka sudah,1
sudah anggar,1
anggar prioritas,1
prioritas covid,1
covid izasah,1
izasah ugm,1
ugm sudah,1
asli kamu,1
abcdewxz rumor,1
rumor tidak,1
kaumrebahanmerapat owh,1
owh kaum,1
kaum kang,1
kang panci,1
panci tah,1
tah pantes,1
akun judul,1
judul minggir,1
minggir dolo,1
dolo yookk,1
curiga mintain,1
mintain poto,1
poto empat,1
kaumrebahanmerapat banget,1
kaumrebahanmerapat yang,1
bahas komen,1
komen nya,1
nya kadang,1
kadang ini,1
andrialimudiny main,1
judol kamu,1
polisi typing,1
typing nya,1
nya pangkat,1
pangkat saya,1
saya nyungsep,1
nyungsep kali,1
kali pangkat,1
byorka bjorka,1
kaumrebahanmerapat mas,1
mas hati,1
hati tutup,1
tutup allah,1
allah tidak,1
tidak sembuh,1
sembuh slh,1
slh jokowi,1
jokowi hebat,1
hebat nya,1
nya jokowi,1
jokowi kamu,1
kamu takut,1
dinobaggio bang,1
bang ferry,1
ferry sudah,1
bilang ugm,1
ugm nya,1
asli asli,1
asli ijazah,1
ijazah yang,1
yang ngeluarin,1
ngeluarin kampus,1
kampus asli,1
asli konfirmasi,1
konfirmasi petinggi,1
petinggi kampus,1
kampus calo,1
calo pura,1
pura tidak,1
tau kamu,1
prank ini,1
gimna ini,1
ini kira,1
kira sudah,1
sudah dapet,1
dapet rencana,1
rencana promosi,1
promosi pangkat,1
pangkat jabat,1
yang kmrn,1
kmrn nangkep,1
denimallik jendral,1
jendral nya,1
nya dlu,1
sandio cuapek,1
cuapek deeh,1
shiraarthur loh,1
loh kalau,1
kalau asli,1
asli tinggal,1
tinggal tunjukin,1
tunjukin kelar,1
kelar benar,1
benar sederhana,1
sederhana jujur,1
jujur bohong,1
bohong rumit,1
rumit berkelokkelok,1
berkelokkelok leo,1
leo tolstoy,1
tolstoy hasil,1
hasil salin,1
salin kpu,1
kpu telah,1
telah teliti,1
teliti ahli,1
ahli palsu,1
palsu haha,1
haha aneh,1
aneh buzzer,1
buzzer sesuai,1
sesuai data,1
data fakta,1
fakta giring,1
opini publik,1
publik parah,1
parah jadi,1
jadi alat,1
alat peting,1
peting politik,1
politik jokowi,1
jokowi buzzer,1
buzzer bisnis,1
bisnis pasar,1
kaumrebahanmerapat anak,1
abah anak,1
hacker pro,1
takut dilenyapin,1
dilenyapin agen,1
agen perintah,1
kalok hacker,1
hacker usaha,1
usaha takut,1
takut pukul,1
pukul centeng,1
centeng usaha,1
usaha hacker,1
hacker maenan,1
maenan bohong,1
bohong entertain,1
entertain pacu,1
pacu adrenalin,1
adrenalin buru,1
buru buru,1
buru konteks,1
konteks bjorka,1
data doang,1
doang strategi,1
strategi politik,1
politik jatuh,1
jatuh usaha,1
usaha orang,1
orang system,1
system kalah,1
kalah sistem,1
sistem dos,1
dos menddos,1
menddos server,1
server akses,1
akses bug,1
bug atur,1
atur mudah,1
mudah akses,1
akses scraping,1
scraping ulang,1
ulang ulang,1
ulang bjorka,1
bjorka milik,1
milik hardware,1
hardware aplikasi,1
aplikasi sebar,1
sebar mumpuni,1
mumpuni kemarin,1
kemarin tangkep,1
tangkep barang,1
bukti saja,1
denimallik hahh,1
hahh lucu,1
lucu kamu,1
kamu dro,1
kalau rekayasa,1
rekayasa yaa,1
yaa klarifikasi,1
klarifikasi polisi,1
konoha nangkap,1
hacker lawak,1
kaumrebahanmerapat itu,1
itu sudah,1
gua tag,1
tag biar,1
biar puas,1
puas kenal,1
kenal koment,1
koment ded,1
ded epek,1
epek miskin,1
miskin tidak,1
dapet bansos,1
nangkep emng,1
emng jago,1
jago rekayasa,1
typing sii,1
sii keren,1
keren bang,1
bang telegram,1
telegram wkkwkwkk,1
termul tidak,1
tidak nyampe,1
nyampe begini,1
ingin citra,1
citra ehh,1
ehh orang,1
nya typing,1
kaumrebahanmerapat aje,1
aje tim,1
tim panci,1
panci makn,1
makn banteng,1
kaumrebahanmerapat komenmu,1
komenmu liat,1
liat bawa,1
bawa jokowi,1
jokowi dividio,1
dividio tapi,1
tapi vidio,1
vidio lohh,1
lohh btw,1
btw komentar,1
komentar dapet,1
tangkap bjirka,1
ohh ngiklan,1
ngiklan judol,1
judol gin,1
gin biar,1
biar top,1
top komen,1
komen bagus,1
bagus ide,1
ide nya,1
biar fitnah,1
fitnah gitu,1
dosa kamu,1
kamu asbun,1
asbun banget,1
orang kek,1
kek kamu,1
sandio ijazah,1
ijazah nya,1
nya palsu,1
akun jud,1
tidak hekcer,1
hekcer yang,1
yang batu,1
batu masyarakat,1
masyarakat miskin,1
miskin bukti,1
bukti yang,1
jokowi jokowi,1
jokowi indonesia,1
yang jokowi,1
bjirlah main,1
kaumrebahanmerapat wew,1
wew memang,1
memang saja,1
saja medan,1
medan papua,1
papua pas,1
pas byk,1
byk berita,1
viral kadang,1
kadang mikir,1
mikir alih,1
isu berita,1
berita yaa,1
yang mahal,1
mahal polisi,1
pinter masuk,1
malu hacker,1
tidak wkwkwkwk,1
wkwkwkwk maling,1
maling tangkep,1
tangkep warga,1
warga serahin,1
serahin polisi,1
polisi jarang,1
jarang polisi,1
bank swata,1
swata pantes,1
pantes polisi,1
kerja cuan,1
titik koma,1
koma benerin,1
nama anak,1
anak pramuka,1
pramuka ngerti,1
ngerti teknologia,1
teknologia ajar,1
ajar tahan,1
tahan hidup,1
hidup andal,1
andal komunitas,1
komunitas pramuka,1
pramuka idn,1
mancing termul,1
termul gorong,1
gorong gampang,1
banget bukti,1
bukti nongol,1
nongol buzzer,1
kaumrebahanmerapat bahas,1
wkwkwkwkwk komen,1
komen lucu,1
banget bangg,1
bangg gerr,1
gerr lagi,1
lagi kalau,1
pake bahasa,1
bahasa indonesia,1
indonesia seperti,1
seperti perintah,1
bjorka etik,1
kaumrebahanmerapat mentok,1
mentok alih,1
alih atas,1
atas alih,1
alih nyaman,1
nyaman hargadiri,1
hargadiri suap,1
suap nasi,1
nagkep fufufafa,1
fufufafa aje,1
aje tidak,1
tidak palgi,1
palgi nangkep,1
lawak perintah,1
tau singkat,1
singkat bjorka,1
untung bjorka,1
bjorka vidio,1
vidio atas,1
atas simpul,1
main karna,1
untung medsos,1
medsos live,1
live retas,1
retas data,1
koruptor tangkap,1
dpt cuan,1
cuan tangkap,1
hacker doang,1
hacker tuju,1
hebat doang,1
pikir perintah,1
tau koruptor,1
koruptor mudah,1
mudah banget,1
banget loh,1
loh tau,1
yang eksekusi,1
eksekusi tau,1
saja koruptor,1
koruptor semua,1
semua lini,1
lini jabat,1
tutup saja,1
kpk tidak,1
basmi bagaimana,1
bagaimana maling,1
data jalur,1
jalur resmi,1
resmi sesuai,1
sesuai hukum,1
hukum laku,1
laku tidak,1
tidak jadi,1
jadi bukti,1
sah make,1
make hukum,1
hukum rimba,1
saja der,1
der dripda,1
dripda nyuruh,1
publikasi iya,1
iya basmi,1
basmi kaya,1
kaya engga,1
nya pensiun,1
pensiun jabat,1
jabat aktif,1
aktif aparat,1
aparat aktif,1
aktif untung,1
loh lhkpn,1
lhkpn memang,1
bukti wakakakaka,1
adiyngrh haha,1
haha mimpi,1
mimpi basah,1
basah warga,1
warga konoha,1
logika bang,1
bang orang,1
korup kaga,1
kaga data,1
data cenderung,1
cenderung hindar,1
hindar transaksi,1
transaksi digital,1
kerjan kamu,1
kamu emng,1
emng sakit,1
sakit banget,1
banget kamu,1
kamu wkwkw,1
wkwkwkwk kocak,1
mimpi bjorka,1
buah sambo,1
polisi kpk,1
kpk ngapain,1
liat ketikanlu,1
ketikanlu broo,1
pjabat konoha,1
konoha pada,1
pada korup,1
bjorka suka,1
suka kalau,1
bobrok karna,1
karna bobrok,1
bobrok mudah,1
mudah curi,1
ini hacker,1
hacker robbin,1
robbin hood,1
asli eneg,1
eneg saya,1
bahas korap,1
korap korup,1
korup asli,1
asli banyak,1
banyak munafik,1
munafik teriak,1
teriak hukum,1
hukum koruptor,1
koruptor benci,1
benci praktek,1
korup sempat,1
sempat korup,1
korup praktek,1
korup jabat,1
jabat mayoritas,1
rakyat haha,1
memang sudah,1
duit sewa,1
sewa orang,1
hebat celaka,1
tega hukum,1
hukum mas,1
mas bgini,1
bgini saja,1
yaa kalau,1
kamu beli,1
beli data,1
usaha byorka,1
byorka sudah,1
kalau itu,1
itu jual,1
data dar,1
dar ngehack,1
ngehack ngeshare,1
ngeshare doang,1
doang validasi,1
motif bjorka,1
pahlawan uang,1
uang tidak,1
butuh validasi,1
indonesia kamu,1
kamu gausah,1
gausah mimpi,1
tidak validasi,1
rakyat peduli,1
peduli uang,1
komen bocil,1
gachaaeditt gua,1
komen gitu,1
sudah emakemak,1
emakemak bapakbapak,1
bapakbapak cuman,1
cuman lulus,1
lulus sdsmp,1
sdsmp seperti,1
tidak boe,1
boe cil,1
cil nonton,1
nonton deddy,1
kalau basmi,1
korupsi tar,1
tar abis,1
abis anggota,1
anggota tegak,1
hukum korupsi,1
laku peras,1
peras koruptor,1
main bro,1
bro itu,1
itu data,1
data korupsi,1
korupsi data,1
koruptor bongkar,1
bongkar publik,1
publik memang,1
aparat saja,1
tutup kuping,1
kuping tutup,1
tutup mata,1
tuju banget,1
banget nya,1
jabat khusus,1
khusus nya,1
jadi jahat,1
jahat sragam,1
sragam nya,1
buka segimanapun,1
segimanapun korupsi,1
korupsi mata,1
mata jabat,1
jabat hnyalah,1
hnyalah jabat,1
jabat tutupin,1
bjoarka banter,1
banter hake,1
hake pesbuk,1
pesbuk data,1
data urus,1
urus desa,1
desa saja,1
saja pegang,1
pegang data,1
data masyarakat,1
masyarakat desa,1
desa nya,1
nya haker,1
haker seperti,1
seperti dukun,1
dukun bohong,1
bohong cari,1
cari gratis,1
untung byorka,1
goesbye suka,1
suka koment,1
koment bro,1
bro kadang,1
kadang proses,1
proses korupsi,1
korupsi jabat,1
jabat sndri,1
sndri korupsi,1
korupsi uang,1
uang bos,1
bos nya,1
korupt pinter,1
bang cerita,1
cerita ott,1
ott transfer,1
transfer bank,1
bank rata,1
rata pake,1
pake cash,1
tau celah,1
celah kpu,1
kpu hack,1
hack saja,1
saja laporin,1
laporin polisi,1
polisi byorka,1
byorka bongkar,1
bongkar korupsi,1
korupsi terima,1
terima zonk,1
arjunarpm fakta,1
fakta bang,1
saya kerja,1
saja level,1
level kerja,1
kerja serakah,1
serakah doyan,1
doyan duit,1
yang bedain,1
bedain korup,1
korup nya,1
jabat nominal,1
nominal saja,1
fathorrasi tidak,1
pake negara,1
itu layak,1
rekrut polri,1
polri kpk,1
kpk ini,1
ini penjara,1
hukum suap,1
suap kasih,1
kasih bukti,1
bukti gunung,1
gunung ttp,1
ttp bisa,1
bisa lolos,1
patungan bayar,1
bongkar korup,1
ngapain gaji,1
gaji kaga,1
kaga aneh,1
duit rakyak,1
rakyak korupsi,1
korupsi sila,1
sila saja,1
saja jabat,1
yang hormat,1
mudah ambil,1
data lurah,1
lurah publikasi,1
publikasi publikasi,1
publikasi tetap,1
tetap tetap,1
tetap periksa,1
periksa periksa,1
periksa data,1
data sederhana,1
sederhana pikir,1
pikir bongkar,1
bongkar bukti,1
korupsi realistis,1
realistis korupsi,1
korupsi sederhana,1
sederhana buka,1
buka file,1
file data,1
data alir,1
alir uang,1
uang rumit,1
rumit cabang,1
cabang libat,1
libat instansi,1
instansi audit,1
audit proses,1
hukum lap,1
lap tetap,1
tetap koruptor,1
koruptor lembaga,1
lembaga resmi,1
resmi bpk,1
bpk kpk,1
kpk adil,1
adil akses,1
akses wenang,1
wenang hukum,1
hukum periksa,1
periksa audit,1
audit verifikasi,1
verifikasi bukti,1
sah hebat,1
hacker proses,1
hukum valid,1
valid dipertanggungjawabkan,1
dipertanggungjawabkan bongkar,1
bongkar data,1
data konteks,1
konteks timbul,1
timbul fitnah,1
fitnah bingung,1
bingung publik,1
publik adil,1
adil sungguh,1
bayar bjorkakan,1
bjorkakan motif,1
motif nya,1
nya uang,1
uang simpel,1
mesin nine,1
nine dragon,1
dragon biar,1
biar managemen,1
managemen konflik,1
konflik rakyat,1
rakyat alih,1
alih berita,1
korup lindung,1
lindung bongkar,1
donasi byorka,1
byorka bocorin,1
bocorin data,1
koruptor pampang,1
pampang data,1
data media,1
media sosial,1
tidak jongos,1
jongos pegang,1
pegang akses,1
akses server,1
server negara,1
negara berani,1
berani nyebarin,1
nyebarin data,1
data tuan,1
tuan tidak,1
seperti juli,1
juli assenge,1
slruh masyrkt,1
masyrkt indonesia,1
indonesia patungan,1
patungan mmbayar,1
anak ycl,1
ycl wkwkwkwk,1
pikir ommaklum,1
ommaklum boomer,1
boomer tuirr,1
tidak kaya,1
kaya zaman,1
zaman suharto,1
suharto rakyat,1
rakyat tunduk,1
tunduk perintah,1
yamanfarma sekali,1
sekali singgung,1
singgung perintah,1
perintah ilang,1
ilang itu,1
orang contoh,1
contoh nya,1
nya munir,1
pinter lagi,1
main sistem,1
panduabpr ngehack,1
ngehack sistem,1
sistem judul,1
judul biar,1
biar menang,1
menang anggap,1
anggap illegal,1
illegal access,1
isu pangkat,1
pangkat tau,1
tau judyo,1
judyo mulu,1
mulu rakyat,1
pikir bodoh,1
bodoh gabisa,1
gabisa nangkap,1
nangkap blokir,1
blokir salah,1
salah kalau,1
kalau diduitin,1
diduitin tangkap,1
yang depan,1
bisa ditangkep,1
ditangkep orang,1
orang jokowi,1
jokowi silpester,1
silpester msih,1
msih berkliaran,1
berkliaran pdhl,1
pdhl status,1
status sangka,1
sudah kesini,1
kesini malu,1
ketawa bjorka,1
bjorka singgasana,1
bagaimana primitif,1
primitif kalau,1
kalau ilmu,1
ilmu lulus,1
lulus dominan,1
dominan sama,1
sama derajat,1
bangun tdr,1
judol looll,1
tidak muncul,1
muncul mikir,1
mikir ketangkep,1
ketangkep beneran,1
kek anak,1
anak tiri,1
tiri banget,1
banget iya,1
iya itu,1
itu bjorka,1
bjorka korban,1
korban bully,1
tanyani memang,1
memang pinter,1
pinter seperti,1
seperti bagaimana,1
sudah bingung,1
bingung naikin,1
naikin percaya,1
percaya publik,1
publik skema,1
skema nangkap,1
inti google,1
google indonesia,1
indonesia apus,1
apus biar,1
biar mampus,1
mampus tukang,1
tukang bikin,1
bikin bot,1
judol hapus,1
hapus google,1
google tahun,1
tahun lihat,1
lihat akun,1
akun masuk,1
masuk bikin,1
bikin apk,1
apk lacak,1
lacak sudah,1
saja indonesia,1
indonesia main,1
main duit,1
judoll kktnll,1
panduabpr amat,1
amat saya,1
orang main,1
nya bapak,1
bapak jir,1
jir saya,1
sudah usaha,1
usaha ngeliatin,1
ngeliatin kerja,1
kerja judol,1
judol seenggaknyan,1
seenggaknyan orang,1
orang ank,1
ank muda,1
muda umur,1
umur sudah,1
sudah renti,1
renti main,1
main kalau,1
kalau bapak,1
bapak susah,1
susah banget,1
banget jir,1
jir inti,1
inti kalau,1
kalau persentase,1
persentase masyarakat,1
masyarakat banyak,1
banyak gen,1
gen milenial,1
milenial sudah,1
sudah lumayan,1
lumayan edukasi,1
edukasi kalau,1
kalau lingkungn,1
lingkungn saya,1
saya iya,1
rafamuog seperti,1
seperti sulit,1
sulit tangkap,1
tangkap mata,1
mata tampil,1
tampil dunia,1
dunia dengan,1
dengan nyata,1
ini judol,1
judol tumben,1
tumben bener,1
kopihitam jaman,1
jaman ketat,1
bwang konon,1
konon untuk,1
untuk simpang,1
simpang langsung,1
langsung dor,1
dor petrus,1
petrus ketat,1
hamidilallam asli,1
asli banget,1
bang gitu,1
gitu kalah,1
berjutajuta utang,1
utang ingetin,1
ingetin sudah,1
sudah lanjur,1
lanjur kalah,1
berjutajuta stop,1
stop rugi,1
rugi tmbh,1
tmbh parah,1
parah lucu,1
lucu bilang,1
bilang gin,1
gin kalas,1
kalas main,1
main mah,1
mah kalah,1
kalah sudah,1
dagel negara,1
pojok itu,1
itu bang,1
bang wkwkw,1
ded polisi,1
iyaa kak,1
kak polisi,1
orang biarr,1
biarr cair,1
cair cair,1
cair cairr,1
cairr itu,1
itu bonus,1
polisi nama,1
nama cyber,1
cyber kamu,1
kamu ngeremehin,1
ngeremehin bank,1
bank swis,1
swis saja,1
saja ampun,1
ampun cyber,1
tidak negara,1
negara police,1
police tidak,1
kerja patroli,1
patroli trus,1
ngapain kerja,1
bangkae polos,1
polos banget,1
banget cyber,1
cyber indo,1
indo kek,1
ketawa nontonin,1
nontonin itu,1
itu video,1
video bilang,1
bilang hibur,1
hibur saja,1
atiki tidak,1
tidak menghbiskan,1
menghbiskan anggar,1
anggar apbn,1
apbn lindung,1
lindung pejabt,1
pejabt tidak,1
tidak dhakimi,1
dhakimi dbayar,1
dbayar tat,1
tat tet,1
tet tot,1
tot jln,1
jln rya,1
rya bisa,1
bisa godain,1
godain perwat,1
rezahandika hongkong,1
hongkong itu,1
polisi jln,1
jln kaki,1
kaki keliling,1
keliling tidak,1
yang curiga,1
curiga tapi,1
tapi aman,1
aman lingkung,1
lingkung duduk,1
duduk manis,1
manis kantor,1
ketawa flat,1
flat saja,1
dpr bro,1
bro lupa,1
lupa biang,1
wajib pasang,1
pasang kendara,1
kendara sablon,1
sablon baju,1
baju ini,1
ini katakata,1
makasih bro,1
bro kata,1
kata nya,1
nya buah,1
buah bahan,1
bahan kaos,1
sudah bangg,1
bangg goreng,1
goreng wkwkw,1
cookk uda,1
uda serius,1
serius baca,1
tau ujung,1
ujung koboy,1
koboy nya,1
jujur bujur,1
bujur gin,1
gin brok,1
cerdas bet,1
bet abang,1
abang ini,1
ini trimakasih,1
trimakasih bang,1
bang wakil,1
magsud ladusing,1
cocok tulis,1
tulis truk,1
takut suruh,1
suruh klarifikasi,1
klarifikasi kamu,1
pemuda pancasila,1
pancasila preman,1
preman pasar,1
pasar bagaimana,1
pelan woii,1
gitu laahh,1
laahh tidak,1
tidak buruk,1
buruk kali,1
kali kalau,1
polisi nyomotin,1
nyomotin mayat,1
mayat korban,1
korban mutilasi,1
mutilasi tebar,1
tebar sudah,1
sudah busuk,1
busuk sudah,1
tidak bentuk,1
bentuk orang,1
orang korban,1
korban celaka,1
celaka yang,1
sudah ancur,1
ancur lebur,1
lebur tidak,1
yang kegiles,1
kegiles kereta,1
kereta api,1
api yang,1
sudah serpihan,1
serpihan ente,1
ente orang,1
orang liat,1
liat darah,1
darah tetes,1
tetes saja,1
sudah semaput,1
love bjorka,1
makasih dukung,1
dukung saya,1
jual swasta,1
swasta hibur,1
kau jual,1
jual hibur,1
kau salah,1
salah tindak,1
tindak kriminal,1
kriminal nipu,1
nipu kau,1
kau hibur,1
hibur dikatain,1
dikatain sdm,1
sdm rendah,1
rendah ngamuk,1
kalau indo,1
indo jalur,1
jalur rekom,1
rekom teman,1
teman relasi,1
relasi alumni,1
alumni keluarga,1
sawah facebluesmiling,1
keren ijasah,1
ijasah jilat,1
jilat rusak,1
rusak banget,1
banget nii,1
nyari pimpin,1
wanjirr iya,1
iya iya,1
iya sadar,1
sadar akuu,1
berat jujur,1
jujur berat,1
berat kamu,1
kamu jujur,1
mukidi kirain,1
kirain sie,1
sie maniss,1
jujur habisin,1
habisin kak,1
kak haha,1
tidak nutup,1
nutup hacker,1
saja bongkar,1
bongkar busuk,1
busuk yang,1
yang negara,1
negara males,1
males saja,1
saja negara,1
saja diobrak,1
diobrak abrik,1
abrik hahahaha,1
pinter cari,1
jujur benci,1
benci istri,1
smp tidak,1
tidak baca,1
baca jam,1
jam analog,1
analog saja,1
saja wkwkwkwkk,1
jujur cepat,1
cepat hilang,1
netizenmana kamu,1
kamu ngapa,1
ngapa sudah,1
netizenmana tidak,1
tidak kenapa,1
kenapa kenapa,1
