bigram,frequency
anak smp,2
bang sudah,2
sudah bang,2
mabes tidak,2
yang mas,2
gua tuju,2
baca tidak,2
terang terang,2
institusi yang,2
tidak seperti,2
mas mas,2
uang jajan,2
kena musibah,2
gaji kerja,2
memang yang,2
yang oknum,2
saja bayar,2
bayar tidak,2
enak jadi,2
laka lantas,2
urus jasa,2
uang ribu,2
ribu tidak,2
tidak kasih,2
tidak apa,2
polisi foto,2
pintu masuk,2
sampe sekarang,2
haha banget,2
kerja sesuai,2
kamu kalau,2
tapi kerja,2
bayar habis,2
assalamualaikum jual,2
jual rumah,2
rumah dengan,2
dengan harga,2
kosong luas,2
bangun mpersegi,2
mpersegi cocok,2
cocok usahadan,2
usahadan rumah,2
rumah pribadi,2
pribadi lokasi,2
baruk sby,2
sby timur,2
timur persis,2
persis indomart,2
indomart rumah,2
rumah ininol,2
ininol jln,2
raya jual,2
jual cuman,2
cuman harga,2
kosong sajasurat,2
sajasurat shm,2
shm ready,2
ready kamar,2
kamar kos,2
kos penuh,2
penuh hun,2
ortu lapor,2
sudah jadi,2
sudah ketangkep,2
hilang nya,2
nya daerah,2
terang benderang,2
real yang,2
tidak orang,2
seragam saja,2
lapor tipu,2
tidak urus,2
haha bener,2
trus polisi,2
engga kalau,2
uang sudah,2
iya anjir,2
kerja bener,2
karna anggota,2
foto cabut,2
rusak indonesia,2
knalpot standar,2
nebus itu,2
itu motor,2
kalau biar,2
tmn saya,2
gin polisi,2
polisi biar,2
biar kerja,2
yang ngasih,2
kalau buka,2
negeri saja,2
nanya gua,2
yaa tau,2
duit yang,2
yang lapor,2
tidak jalan,2
ayom lindung,2
ama yang,2
yang korup,2
uang abang,2
polisi seperti,2
kalau tni,2
polisi reguler,2
reguler satu,2
oknum polisi,2
mutasi satu,2
tingkat polres,2
polres pangkat,2
kak indonesia,2
polisi bang,2
baca komen,2
hukum indonesia,2
hasil uang,2
gua itu,2
bayar juta,2
orang dalem,2
indonesia polisi,2
instansi sudah,2
tuju polisi,2
bener bet,2
darah daging,2
aduh aduh,2
polisi bagaimana,2
berita tangkap,2
tau bang,2
biang kerok,2
yang sekarang,2
foto polisi,2
sudah ajak,2
seperti gitu,2
seperti polisi,2
konoha bang,2
smpai tidak,2
percaya institusi,2
pura pura,2
banget saya,2
lokal yang,2
publik kecoh,2
kecoh lupa,2
nya sesuai,2
sesuai sop,2
betapa bobrok,2
bener sudah,2
yang bela,2
kaumrebahanmerapat jokowi,2
buzzer jokowi,2
giring opini,2
mobil esemka,2
bagaimana buzzer,2
konferensi pers,2
kuliah sana,2
buzzer termul,2
bilang asli,2
tangkap byorka,2
takut sama,2
jabat yang,2
anak abah,2
pro perintah,2
perintah takut,2
perintah kalok,2
bjorka jual,2
sudah gua,2
takut dosa,2
banget orang,2
lapor bank,2
cuan cuan,2
kalau pake,2
simpul kalau,2
bjorka main,2
karna uang,2
tidak hacker,2
dpt duit,2
perintah polisi,2
jabat saja,2
saja tutup,2
dapet data,2
bukti sah,2
tidak kamu,2
untung nya,2
memang tidak,2
tidak bukti,2
bayar bjorka,2
anak buah,2
lagi ketawa,2
perintah bobrok,2
curi uang,2
sudah bahas,2
praktek korup,2
butuh saya,2
saya memang,2
sudah saya,2
korup duit,2
tidak guna,2
data usaha,2
bilang kalau,2
bjorka pahlawan,2
validasi rakyat,2
gitu sudah,2
deddy corbuzier,2
memang aparat,2
nya jabat,2
pinter bang,2
tidak pake,2
bener itu,2
layak rekrut,2
bjorka bongkar,2
pikir mudah,2
proses hukum,2
hebat tidak,2
rakyat pikir,2
depan mata,2
sudah sudah,2
pojok kek,2
kek ketawa,2
pinter tidak,2
tidak main,2
bot judol,2
judol nya,2
ketat bwang,2
kalah berjutajuta,2
trus ngapain,2
tidak ketawa,2
bagaimana bang,2
tidak karu,2
karu orang,2
hibur data,2
data jual,2
data kau,2
jujur jujur,2
hacker saja,2
cari orang,2
sumpah ngakak,2
yang nangkap,2
nangkap byorka,2
tidak enak,2
kilang pertamina,2
pertamina ledak,2
bjorka kerja,2
kilang minyak,2
accountant yang,2
hebat hacker,2
yang duit,2
lucu negara,2
tangkap salah,2
pikir bjorka,2
duit makan,2
saya baca,2
perintah bikin,2
bjorka jahat,2
bawa bawa,2
gua bjorka,2
nonton podcast,2
ngopi ketawa,2
bos bandar,2
negara cinta,2
nyari orang,2
yang cari,2
buruk banget,2
reformasi total,2
yang memang,2
perintah indonesia,2
tangkap orang,2
judol sampe,2
ngemil kacang,2
dana haji,2
haji pindah,2
nya percaya,2
percaya masyarakat,2
tumbuh dana,2
dana bsi,2
orang awam,2
orang kompeten,2
dari berita,2
