bigram,frequency
hilang sapi,2
masalah polisi,2
ngurus bjorka,2
gua kalau,2
jim geovedi,2
ketangkep tidak,2
ajar jadi,2
ini podcast,2
orang seperti,2
gin yang,2
cyber polisi,2
tau gua,2
tidak ngaku,2
anggap sepele,2
data anggap,2
percaya tidak,2
dunia cyber,2
data orang,2
kasih kisi,2
bjorka pecah,2
instansi polisi,2
yang pelihara,2
maryam hamil,2
biar keren,2
cipta cipta,2
hidup kekal,2
bahas bjorka,2
belum ketangkep,2
orang duit,2
bikin gaduh,2
generasi muda,2
saya gatau,2
rakyat yang,2
indonesia itu,2
yang dapet,2
sudah nangkep,2
suka banget,2
nya kaya,2
plot wist,2
yaa tidak,2
cari celah,2
korup institusi,2
hacker orang,2
hacker ngk,2
nama nya,2
nya hacker,2
bang hacker,2
kaya liat,2
kalau konoha,2
konoha mah,2
kalau jabat,2
bener orang,2
orang tidak,2
ilmu yang,2
anak komunitas,2
kelas gratis,2
alat yang,2
isi daging,2
wakil banget,2
menit suara,2
hasil tangkap,2
dapet nya,2
ken ketawa,2
awas polis,2
negara koruptor,2
gaji resiko,2
orang kalimantan,2
cari kepala,2
pake kacamata,2
kendara mewah,2
kalau cari,2
jadi polisi,2
sudah bantu,2
gong sihh,2
umur hidup,2
bjorka jangan,2
tangkap keren,2
berita polisi,2
bener polisi,2
tidak kelar,2
byorka saya,2
saya tau,2
bjorka ngakak,2
polisi minimal,2
kalau trnyata,2
polisi umum,2
alangkah malu,2
yang bantu,2
sayber perintah,2
buka data,2
yang pintar,2
kalau intel,2
kalau nangkep,2
maling ayam,2
anak sama,2
kasihan yang,2
tidak hukum,2
hacker hacker,2
hacker untuk,2
bjorka baca,2
salam kenal,2
asli podcast,2
hasil jual,2
tidak peduli,2
nya hasil,2
lucu saja,2
indonesia tangkap,2
polisi haus,2
tangkap bandar,2
bintang tamu,2
kaya film,2
khusus mampu,2
gua harap,2
tangkap saja,2
tangkep bjirka,2
sakit hati,2
love you,2
kamu bjorka,2
konoha sudah,2
cheat point,2
point blank,2
itu coklat,2
bener tidak,2
keren nangkep,2
tidak pinter,2
mas nya,2
ketawa tidak,2
jual tangkap,2
duga bjorka,2
bakti negara,2
masyarakat dukung,2
bjorka tau,2
yang baik,2
kreatif banget,2
bukti nya,2
polisi bubar,2
cyber jawara,2
hati hati,2
ded tidak,2
dunia jaring,2
aman dunia,2
main nonton,2
nonton ginian,2
hacker maling,2
nagkap bjorka,2
bjorka tukang,2
tangkap kalau,2
itu anak,2
saya nonton,2
nonton youtube,2
bayar mahal,2
tangkap mulu,2
saja kaga,2
pikir kek,2
bubar saja,2
polisi kek,2
prestasi polisi,2
ungkap bjorka,2
saja jual,2
tidak beres,2
hah hah,2
nya bnyk,2
cemar nama,2
laku institusi,2
ecek ecek,2
nilai teori,2
jual yang,2
gaji gede,2
atur lalin,2
kaya gin,2
serius saya,2
coba undang,2
undang pace,2
bjorka mimpi,2
bener saya,2
amplop amplop,2
orang indo,2
jadi hacker,2
beban doang,2
saja kerja,2
sok nangkep,2
rendah tidak,2
kamu percaya,2
bjorka komen,2
kualitas nya,2
tidak salah,2
saya pribadi,2
handler alias,2
untuk israel,2
hacker bobol,2
kelas ecek,2
tangkap klw,2
nangkep hecker,2
klw pakai,2
sembunyiin proxy,2
nya proxy,2
percaya bpk,2
hack akun,2
sandi random,2
anjir saya,2
polusi prindavan,2
sistem bobrok,2
wait wait,2
pungli nyusahin,2
nyusahin rakyat,2
topi putih,2
white hat,2
hat black,2
black hat,2
