username,comment,time
@putrahambalang,asumsi dan cerita orang😂😂,2 hari yang lalu
@irossalya2358,lahhhh kenapa sama dengan daerah ku 😂,2 hari yang lalu
@davinadebykalimazahwa,yg di tangkep orang yg merugikan bandar judol,2 hari yang lalu
@anasumanah5158,"kehilangan apa dulu bu ? saya di hong kong kehilangan dopet uang ,hp ,ktp hong kong ,atm hk. lapor polisi hong kong cuma di kasih kertas laporan bawah saya kehilangan ktp dan atm.  dan saya bikin baru ktp dan atm. dan polisi tidak mungkin mencari tas saya yg hilang . tinggal apa yg hilang bu .bodoh sekali km",2 hari yang lalu
@andrekemang,fakta bgt,2 hari yang lalu
@joelfarhan,namanya terlalu robot nih🤣,2 hari yang lalu
@prauhahuha,"awok"" wadidaw.....😂😂😂",2 hari yang lalu
@ismailmarzuki6417,udah jadi rahasia umum dan ga akan pernah berubah,2 hari yang lalu
@ikgodanins2nd962,eitssss😂,2 hari yang lalu
@justme-hanna,saya lapor polisi adik saya hilang sampai 3 thn sekarang dan fakta nya polisinya minta uang biar bisa nyari  !!!!!!!!!!!!!,2 hari yang lalu
@rezarenaldy-ku5wg,🔥🔥🔥🔥,2 hari yang lalu
@edobaceng,"kok sama 😅 bikin surat kehilangan motor aja di suruh bayar 2,5jt dalam sebulan di puter2 terus baru jadi. kalo mau di tindak lanjuti di minta separo dari harga motor",2 hari yang lalu
@roisulharis-pc9wz,real!,2 hari yang lalu
@kecebongsakti2337,"gw nangkap maling,lapor polisi,2 jam baru datang,setelah datang di suruh lepasin maling nya,isilop malah minta sama maling 5jt biar di lepas,udh hancur negri ini",2 hari yang lalu
@renapurwanti5911,baru juga seminggu gw liat polisi pas pagi d poto.doang perepatan lngsung pulanh lagi dia wkwk,2 hari yang lalu
@horegprigen2503,fakta,2 hari yang lalu
@anrgaming8837,emang sudah bener reformasi polisi,2 hari yang lalu
@antonius-l2r,"keluarga saya malah diperas polisi, dia kerjasama sama oknum pejabat kelurahan. nuntut 1 m untuk kesalahan yg tidak pernah kami lakukan.",2 hari yang lalu
@ardosaputra1993,lapor ilang motor malah eh prosesnya dah kayak ilang mobil,2 hari yang lalu
@yanuarpamungkas1634,kinggg 👑👑👑👑,2 hari yang lalu
@ilmawati5584,"betul..motor hilang ditemukan..ngambil malah dipalak sm kanit reskrim, ank buahnya pada mnta duit rokok...parah wes",2 hari yang lalu
@ibulpang,anda jujur sekaliiiii🎉,2 hari yang lalu
@andry_sutanto1986,"bener sekali anda😂😂😂, waktu nganter anak ku sekolah bukan nya ngebantu nyebrangin anak anak sekolah malah asyik foto foto buat laporan biar keliatan kerja😂😂😂. jadinya aku sebrangi sendiri anakku",2 hari yang lalu
@siskadwirahma9053,fakta yg tidak bisa di tutupi,2 hari yang lalu
@u.r.crristiano7,gw orang yg paling setuju  kalo institusi kepolisian ada di bawah tni. gak ada kapolri kapolrian,2 hari yang lalu
@vizarpermana4796,"apalagi gua bang. kena begal masih bersyukur ngga diapa-apain cumn di ambil doang motor nya. masa anggota nya ngomong . "" ko di begal kaga kenapa - kenapa "" padahal ada saksi",2 hari yang lalu
@maliksaputra-zo5qk,"bner itu, cuma fto ngajak orang yg lgi nongkrong, pokonya pencitraan banget",2 hari yang lalu
@radenlevi4986,real..😂😂😂 habis foto pulang 😅 yang ngatur lalulintas pak.ogah 😅😂,2 hari yang lalu
@subechanbehan7349,a1,2 hari yang lalu
@rhdnldy1811,realeated di semua kota kayanya wkwkwk 😂😂,2 hari yang lalu
@grayfullbuster-uh7hy,cahaya apa ini tuan,2 hari yang lalu
@iwaniwan-u8i,"fakta memang polisi mh gitu 9,99% gausah di sebut oknum lagi deh,dah muak",2 hari yang lalu
@gamingstandar,polisi konoha kan 😄😄,2 hari yang lalu
@jkahunalaguna,"gilak, gw tidak penah melihat fakta seterang ini 😂😂",2 hari yang lalu
@budidepok7826,"ya elah pake di perjelas tapi emang iya lagi 😂😂😂
semua kejadian yg udah2 dari dulu cuma skenario dan sandiwara, contoh grebek cafe tilang menilang, maling teriak maling, tawuran itu juga dibuat biar polisi seolah olah ada kerjaannya, yg lebih parah sih nyuruh orang buat ngedarin narkoba tapi yg dampak dan di tangkep orang biasa yg cuma penasaran sama narkoba.😂😂😂",2 hari yang lalu
@holidayuser9226,ini kalo komen kok sesuai fakta sekali ya😅😅,2 hari yang lalu
@holidayuser9226,ini kalo komen kok sesuai fakta sekali ya😅😅,2 hari yang lalu
@holidayuser9226,bro kalo gak gitu mana bisa balik mkdal mereka bro😅,2 hari yang lalu
@krismamahendra2555,anak smp lewat suruh motoin dulu kalo pagi2..,2 hari yang lalu
@mahmudin8120,1000 % nyata,2 hari yang lalu
@mekanikberkahhh,bang udah bang.. 😂,2 hari yang lalu
@pendekarkerambit4310,soal foto di perempatan lalu ngopi. ternyata di setiap daerah sama 😅,2 hari yang lalu
@mrgustajam,"iya lgi anjirrr, pernah di suruh motoin  bapak"" itu🤣🤣",2 hari yang lalu
@feriramadhans662,kenyataan swperti itu..dan mencari kambing hitam,2 hari yang lalu
@agung-fp3sm,bg boleh minta foto in bntr kh buat dokumen kirim ke grup (polisi)🤣🤣,2 hari yang lalu
@panggungsandiwara-p4x,"mau bantuan mabes gak mas, yg baik juga masih ada mas, 
kebanyakan sih yg dibawah itu terikat yaaah system ny begitu.",2 hari yang lalu
@iwayansantikayoga,fakta banget lagi😂,2 hari yang lalu
@dhanumenoel7566,savage,2 hari yang lalu
@lilisherlina4842,setuju,2 hari yang lalu
@angganugraha3738,terang banget 😂,2 hari yang lalu
@kandang_naditni,fakta si,2 hari yang lalu
@bimantaraaziszulhakim1247,mengakar,2 hari yang lalu
@ajisaka14saka,"gua setuju, gua pling mles sama yg nmnya isi lop",2 hari yang lalu
@eye-h,sangat terang sekali fakta ini,2 hari yang lalu
@ahmadilham815,faktaaaaa bang,2 hari yang lalu
