username,comment,time
@lilisherlina4842,Setuju,2 hari yang lalu
@angganugraha3738,Terang banget 😂,2 hari yang lalu
@KANDANG_NADITNI,Fakta si,2 hari yang lalu
@bimantaraaziszulhakim1247,Mengakar,2 hari yang lalu
@Ajisaka14Saka,"Gua setuju, gua pling mles sama yg nmnya isi lop",2 hari yang lalu
@Eye-H,Sangat terang sekali fakta ini,2 hari yang lalu
@ahmadilham815,Faktaaaaa bang,2 hari yang lalu
@triehandoyo6273,Bener sekali.kalau pagi yg jaga lalu lintas malah pegawai busway.,1 hari yang lalu
@kepoNih-t6d,Fakta 100%,1 hari yang lalu
@mellya2272,Ini mereka yg lagi diomongin bisa baca gak yaa...,1 hari yang lalu
@romadandi0392-or3gf,Waduh.... Malah di jabarin semua borok.nya 😂😂😂,1 hari yang lalu
@michaelwarouw6534,Mau dibantah tapi kenyataan.... Hmmm syulit,1 hari yang lalu
@mayazikaaa,fakta ini terlalu terang seterang cahaya ilahi 😂😂😂,1 hari yang lalu
@SuponoJts,😂😂inilah konoha,1 hari yang lalu
@yunitalisa3996,"Benar banget , mending dr pada nangjap bjorka katanya",1 hari yang lalu
@AvriliaZulkarnaen,"Abis foto2 kirim ke atasan buat laporan abis tuh lanjut ngopi, sering banget tuh aku liat kalo pagi2 😂😂😂😂😂",1 hari yang lalu
@agusbantoro1184,Bobroknya institusi yg di bayar dan di gaji masyarakat 😢😢😢,1 hari yang lalu
@ikarus_07,FAKTA MASEH😂,1 hari yang lalu
@acenganakcengengesan4924,Lingkungannya mendukung...,1 hari yang lalu
@sumajii81-km3xb,Cocok memang luar biasa mereka ini makan gaji dari rakyat tapi gak manfaat buat rakyat,1 hari yang lalu
@Aisyahsolekha,"Jadi ingat kejadian di kantor polisi gr2 rumah temen  kemalingan tas dompet hilang semua termasuk surat2 penting
 Temen bilang : pak mau lapor surat kehilangan blablabla
Polisi: blablabla
Temen : jadi berapa pak untuk administrasinya?
Polisi : ah gak usah kayak sama siapa
Temen : oh iya pak, maturnuwun 
 And, baru beberapa langkah jalan dipanggil lagi dong sama pakpol
Pakpol : mas, mas pernae ya dilihat to, rokoke kita apa, permene apa

Gila gak sih, ditanya administrasinya apa katanya gak usah, pas udah keluar tiba2 ngasih kode minta uang jajan, yang diminta juga orang yang Baru kena musibah kemalingan😂😂😂 emang lawak banget si",1 hari yang lalu
@Jayajalan-p9q,Oiiii jangan jujur lah😂,1 hari yang lalu
@zhi9999,"Tapi kalau lagi ngoten, baik dan gercep banget kok bang",1 hari yang lalu
@YudiLukmanto,Ingat polisi yg jujur cuma pak hoegeng dan polisi tidur,1 hari yang lalu
@wiwitvindiyanto8188,"Gw kerampokan jg sama kasusnya malah di persulit, bpkb surat"" kendaraan di curi, mgurus lagi habis 10 jt itu buat 1 mobil padahal kita korban... Gila emang konoha... Maunya dpt gaji kerjaan tidur., atau malak orang.... Ini mah udah penjahat  tp legal",1 hari yang lalu
@WhatameSsn-b5u,Dih... Klo ngomong suka bener 😂😂😂,1 hari yang lalu
@KICU_KICU,"temen gw kena kasus narkobs ketangkep, tiba2 bsoknya udah di rumah, iseng2 tanya, ternyata nebus surat laporan sbelum di layangkan ke kejaksaan 100jt katanya... njiiir gilaaak emang bener kata pak mahfud jangan berurusan dengan hukum, pintu utamanya kepolisian...",1 hari yang lalu
@hendragojek3446,"Kata siapa gak pernah patroli malam??
Gw sering liat tuh polisi patroli malam, malah sering berhenti d depan2 karaoke tanpa keluar mobil lalu ada orang datang menghampiri dan bawa'n rokok.",1 hari yang lalu
@EkaPrasatya-o1i,Iyah lagih,1 hari yang lalu
@anipzajja6829,"Udah bener2 bobrok emang... yg katanya oknum, tapi bejibun...",1 hari yang lalu
@untrikoza7466,Nahh ituu....🫵🫵🤣🤣,1 hari yang lalu
@sigragrek7104,🫡🫡🫡,1 hari yang lalu
@umamkent3584,Betul,1 hari yang lalu
@irwanral3645,FAKTAAAAAA,1 hari yang lalu
@kristantomountain5346,😅,1 hari yang lalu (diedit)
@usep34,Real di lapangan 😂😂😂😂,1 hari yang lalu
@susansusan5136,Pingin masuk gua jadi hacker ga tahu aksesnya,1 hari yang lalu
@buldozer6475,Masuk.ksana aja bayar.. Ga heran jdinya bgini,1 hari yang lalu
@jasienm5676,🎉🎉🎉,1 hari yang lalu
@univer-kholis6588,"Sependapat, preman memang bikin susah dunia usaha",1 hari yang lalu
@ramdhaniputramahesa1517,"klo pengelihtan gua semua y karna kbiasaan k enakan..dulu mngkin kyk buat sim byar pajek kan susah nah dri situ ada masyrakat nembak mw bikin cpt dan mudah nah dri situ mereka"" ke enakan dan jd kbiasaan bhkan bkn hal yg sepele saja",1 hari yang lalu
@dellbaglat6420,"kejadian yang saya alami lebih parah bro. Saya pernah nabrak orang sampae patah tulang, saya tanggungjawab ke korban, semua biaya RS saya yg tanggungjawab, kalau Laka Lantas kan dapat JASA RAHARJA kan..? waktu itu tahun 2012 dapat jasa raharja sebesar 10 JT, saran dari kakak korban, Jasa Raharja itu utk biaya RS aja, aku setuju, aku urus JASA raharjanya, kan harus minta surat2 ke polsek/polres setempat utk syarat ke jasa raharja biar bisa cairkan dananya. Saat urus surat di polres/polsek, mereka bilang nanti yang separo utk polsek/polres.., dalam artian 50:50. aku iya2 aja.. pikiranku yang penting urusanku sama mereka selesai. Singkat kata dana Jasa Raharja turun, aku balik ke polsek sambil bawa amplop berisi uang 500 ribu. Pak, saya gak bisa kasih 50:50, ini dana buat korban untuk berobat. ini ada dana sekian, kalau mau diterima silahkan gak mau juga gak apa2. Lalu aku tinggalkan Polsek dan kembali ke RS buat urus pengobatan korban. Ini pengalaman untuk kita semua., hati2..urus Jasa Raharja. kalau kita gak pandai2, kita bisa dirugikan.",1 hari yang lalu
@MarkusAryadi,Jujur banget 😂,1 hari yang lalu
@ademulyaman2882,Bener bangetttt cuyyy,1 hari yang lalu
@feriarifchyn7352,Pelan pelan bang😂,1 hari yang lalu
@Gavinarsha,benerr,1 hari yang lalu
@ahmadripai5929,Si abang kalo ngomong suka bener 😅😅,1 hari yang lalu
@Wonderfulltoday,Buset lu bicara fakta semua sih 😅😅😅😅,1 hari yang lalu
@ghofialgifari2780," @aries_bast  mereka bekerja buat balikin modal,, bukan ngejar visi misi jadi oknum itu✌",1 hari yang lalu
@hendraandrea118,"Gua kira cuman d tempat gua polisi foto d perempatan, siap foto foto, perempatannya d tinggal 😂",1 hari yang lalu
@BudiSetiawan-j2t9h,Banyak lo yg patroli d cafe tuak,1 hari yang lalu
@2SISI2,"Jir, Fakta lagi wkwkwkwkwk",1 hari yang lalu
@SAKATALENT,Iya lagi,1 hari yang lalu
@pujasetiawan1080,Kelasss king,1 hari yang lalu
