no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
357,N/A,Nazla Fairuska Asmarani Dewi,5,5 bulan lalu,N/A,N/A,Tidak
358,N/A,Arfa W,5,5 bulan lalu,N/A,N/A,Tidak
359,N/A,anggi kurnia,5,5 bulan lalu,baguss,N/A,Tidak
360,N/A,berlina sari,5,5 bulan lalu,N/A,N/A,Tidak
361,N/A,nelita viona2004,5,5 bulan lalu,TEMPATNYA WORT IT BANGETTT BARENG BESTIE,N/A,Tidak
362,N/A,Esti Anora,5,5 bulan lalu,"Dj nya asik, tempatnya juga keceee",N/A,Tidak
363,N/A,Herwindo Danendra,5,5 bulan lalu,matcha terbaik,N/A,Tidak
364,N/A,Sam Smith,5,5 bulan lalu,"Pelayanan ramah, tempat mendukung untuk WFH/nugas karna 24/7. Matcha ny best utk pecinta matcha, 100% rekomen",N/A,Tidak
365,N/A,Cheisyaaura Chantika fitsy,5,5 bulan lalu,N/A,N/A,Tidak
366,N/A,diska cahya,5,5 bulan lalu,Tempatnyaa enak buat ngobrol,N/A,Tidak
367,N/A,adyba qotrun nada puspaningrum,5,5 bulan lalu,N/A,N/A,Tidak
368,N/A,Luthfia Auliaunnisa,5,5 bulan lalu,N/A,N/A,Tidak
369,N/A,Elisabet Nandini,5,5 bulan lalu,Dark choco Lattenya gabolee abizzz plizz enak,N/A,Tidak
370,N/A,Ra Mauldy Pabhayita,5,5 bulan lalu,N/A,N/A,Tidak
371,N/A,117_Sharon Evanggelina,5,5 bulan lalu,"tempat cozy dan asik buat nongkrong, recommended 🥰🥰",N/A,Tidak
372,N/A,Mrs.Leonna,5,5 bulan lalu,Aku menyukainya🫶🏼,N/A,Tidak
373,N/A,Aisha Rizqita Putri,5,5 bulan lalu,"tempatnya lucu, minumannya enak",N/A,Tidak
374,N/A,Ervita Yurista,5,5 bulan lalu,"Tempatnya comfy, makanannya enakkk + lagunya vibess bgtt 💞💞",N/A,Tidak
375,N/A,Herdinsyah An Har El Hakim,5,5 bulan lalu,N/A,N/A,Tidak
376,N/A,ananda,5,5 bulan lalu,"strawberry matcha 🫶🏻🫶🏻🫶🏻, tempatnya nyaman dan bersih, pelayanannya juga baik🩷",N/A,Tidak
377,N/A,E-248-EKA RINDIANI,5,5 bulan lalu,rekomen bgt menu pistachio coffe latte nya.,N/A,Tidak
