no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
133,N/A,Ananta XD,5,sebulan lalu,"Pelayanan terbaik, matcha nya mantapss",N/A,Tidak
134,N/A,YAZID RUZIQ IBROHAM,5,sebulan lalu,"Matchanya enakk dan cheesecakenya endull, tempatnya cozy ambiencenya bagus bangett",N/A,Tidak
135,N/A,maulida syafin,5,sebulan lalu,"bukan penggemar berat matcha tapi matchanya enakk, tempatnya nyaman dan bagus, fasilitasnya komplit, terus playlistnya selera aku bangettt wkwkwk",N/A,Tidak
136,N/A,solihatin putri dewi,5,sebulan lalu,N/A,N/A,Tidak
137,N/A,Via Trinanda,5,sebulan lalu,N/A,N/A,Tidak
138,N/A,amel nasaki,5,sebulan lalu,N/A,N/A,Tidak
139,N/A,Audi Praditya,1,sebulan lalu,"Saat dtg, tukang parkir ksh karcis dan ternyta skrg sistemnya bayar parkir lgsg dikasir, tp setelah itu; pas pulang, tukang parkirnya malah nongkrong2 dipojok gak bantuin nyebrang.

Semoga bs diperbaiki dan ditingkatkan ya,",N/A,Tidak
140,N/A,Denny Rangga S,4,sebulan lalu,"Harusnya ada harga, ada kualitas rasa sih.",N/A,Tidak
141,N/A,Davina Angelica Putri,5,sebulan lalu,N/A,N/A,Tidak
142,N/A,nasywa dhya,5,sebulan lalu,"tempatnya cozy banget! buat pecinta matcha wajib banget ke sini. pelayanannya juga ramah, cocok buat nongkrong santai atau nugas",N/A,Tidak
143,N/A,midnightrain,5,sebulan lalu,"matchanya enak, tempatnya enak, servicenya bagus 🫶",N/A,Tidak
144,N/A,Helen 15,5,sebulan lalu,"enak bgt, tempat nya juga nyaman, klo untuk nugas juga enakkkk puolll KALIAN WAJIBB BGT SI KESINI >.<",N/A,Tidak
145,N/A,marsenda,5,sebulan lalu,tempatnya oke pelayanannya baik bangetttt,N/A,Tidak
146,N/A,Dwi nur fadhliyah,5,sebulan lalu,tempatnya lucuu,N/A,Tidak
147,N/A,Cynthia Anugrah S,5,sebulan lalu,Matcha rasanya enak banget dan Mba Mas baik sekali ~3,N/A,Tidak
148,N/A,esther alexa,5,sebulan lalu,matchanyaaa enak banget,N/A,Tidak
