no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
204,N/A,clara araa,2,seminggu lalu,"kmrn hbs ksni,yg jg kasir,cwe,jutek,gjls bgt,,stdkny customer dilyni dg baik,wlpn km lg bt ato gmn ya.",N/A,Tidak
205,N/A,Widiawan Stefani,5,seminggu lalu,N/A,N/A,Tidak
206,N/A,BagasWidya BagasWidya,5,seminggu lalu,N/A,N/A,Tidak
207,N/A,Sella Avi,5,seminggu lalu,N/A,N/A,Tidak
208,N/A,Setiawan Bam,5,seminggu lalu,Pelayanan baik dan ramah,N/A,Tidak
209,N/A,faiz bintang,5,seminggu lalu,N/A,N/A,Tidak
210,N/A,Ziyad Alizzi,5,seminggu lalu,N/A,N/A,Tidak
211,N/A,rosyid herll,5,seminggu lalu,N/A,N/A,Tidak
212,N/A,Zahira Zuliani,5,seminggu lalu,N/A,N/A,Tidak
213,N/A,reihan,5,seminggu lalu,N/A,N/A,Tidak
214,N/A,Imelda Imelda,5,seminggu lalu,N/A,N/A,Tidak
215,N/A,Faras Putri,5,seminggu lalu,N/A,N/A,Tidak
216,N/A,minat_ uhuy,5,seminggu lalu,bagus,N/A,Tidak
217,N/A,Sagita Indah,5,seminggu lalu,N/A,N/A,Tidak
218,N/A,Vira Nadya,5,seminggu lalu,N/A,N/A,Tidak
219,N/A,Bella Nuroktaviana,5,seminggu lalu,N/A,N/A,Tidak
220,N/A,238 Tiara Sasadara,5,seminggu lalu,N/A,N/A,Tidak
221,N/A,Fenti Novita,5,seminggu lalu,"tempatnya bagus bangettt, pelayanannya juga baik, pegawainya ramah poll, makanan minumannya juga enakkkkk",N/A,Tidak
222,N/A,Winda Puspitasari,5,seminggu lalu,Tempatnya bagus dan banyak spot fotonya,N/A,Tidak
223,N/A,Athala Dyah Arumsari,5,seminggu lalu,"Bagus bgt tempatnya, banyak spot foto",N/A,Tidak
224,N/A,Niila Mafaaza,5,seminggu lalu,pelayanan ramah,N/A,Tidak
225,N/A,Ifa Latifa,5,seminggu lalu,N/A,N/A,Tidak
226,N/A,Luna mezza Mezzaluna,5,seminggu lalu,N/A,N/A,Tidak
227,N/A,Ikhsan Yaseer,5,seminggu lalu,Asoyyyyy,N/A,Tidak
228,N/A,Ray Alden,5,seminggu lalu,N/A,N/A,Tidak
229,N/A,16_ Kresna Adiwangsa putra,5,seminggu lalu,N/A,N/A,Tidak
230,N/A,Farrel Sugara,5,seminggu lalu,N/A,N/A,Tidak
231,N/A,Lala Milala,5,seminggu lalu,N/A,N/A,Tidak
232,N/A,Mochamad Salman Al farizzy,5,seminggu lalu,N/A,N/A,Tidak
233,N/A,Moh fadil Bina,5,seminggu lalu,N/A,N/A,Tidak
234,N/A,Laila Rasti,5,seminggu lalu,N/A,N/A,Tidak
235,N/A,Reza Ramadhani,5,seminggu lalu,N/A,N/A,Tidak
236,N/A,Tina nii Nii,5,seminggu lalu,N/A,N/A,Tidak
237,N/A,Savira Savira,5,seminggu lalu,N/A,N/A,Tidak
238,N/A,Aini Nurmalita Ramadhani,5,seminggu lalu,N/A,N/A,Tidak
239,N/A,Evy Lailly,5,seminggu lalu,N/A,N/A,Tidak
240,N/A,ARZETI KARISA,5,seminggu lalu,N/A,N/A,Tidak
241,N/A,Manda Karenina,5,seminggu lalu,N/A,N/A,Tidak
242,N/A,018 Wanda ayu Warohmah,5,seminggu lalu,coffenya enak tempat luas recomend buat nongkrong,N/A,Tidak
243,N/A,Nurul Fuadi,5,seminggu lalu,asik asik,N/A,Tidak
244,N/A,Sari Nabilla Siregar,5,seminggu lalu,kopi dengan somres nya best banget😭,N/A,Tidak
245,N/A,Silvia Ayu Andriana,5,seminggu lalu,N/A,N/A,Tidak
246,N/A,melita pangaribuan,5,seminggu lalu,instagramable,N/A,Tidak
247,N/A,Arfandy Syafiq Ismail,5,seminggu lalu,N/A,N/A,Tidak
248,N/A,Florencia Tandirerung,5,seminggu lalu,N/A,N/A,Tidak
249,N/A,Asseyra Bimbie,5,seminggu lalu,Mantap,N/A,Tidak
250,N/A,ahmadallam,5,seminggu lalu,"pelayanan ramah, tempat bagus",N/A,Tidak
251,N/A,Ganang Ardhianto,5,seminggu lalu,N/A,N/A,Tidak
252,N/A,Napoleon Akbar,5,seminggu lalu,N/A,N/A,Tidak
253,N/A,Fauzan apip,5,seminggu lalu,N/A,N/A,Tidak
254,N/A,kaila emiliyana Saputri,5,seminggu lalu,N/A,N/A,Tidak
255,N/A,Irfan Pratama,5,seminggu lalu,N/A,N/A,Tidak
256,N/A,Mike Amelia,5,seminggu lalu,N/A,N/A,Tidak
257,N/A,indah arbilaku,5,seminggu lalu,N/A,N/A,Tidak
258,N/A,fama fama,5,seminggu lalu,N/A,N/A,Tidak
259,N/A,Nayla Mutia Rahmadania,5,seminggu lalu,N/A,N/A,Tidak
260,N/A,syfa ach,5,seminggu lalu,"makanan enak, tempatnya keren, crew” ramahhh”🫰🏻",N/A,Tidak
261,N/A,Rifky Al farizi,5,seminggu lalu,N/A,N/A,Tidak
262,N/A,Naya Nisa,5,seminggu lalu,N/A,N/A,Tidak
263,N/A,Nifta Aprilla,5,seminggu lalu,bagus,N/A,Tidak
264,N/A,Rafi Hamzah,5,seminggu lalu,Tempat yang asyik untuk menikmati kopi terbaik di Jogja. Kalcerr banget!,N/A,Tidak
265,N/A,Rafi Bahtiar,4,seminggu lalu,kopi enakk dan pelayanan sangat ramah,N/A,Tidak
266,N/A,rhahma putri,5,seminggu lalu,N/A,N/A,Tidak
267,N/A,CH BHRAMASTYA SURYA,5,seminggu lalu,N/A,N/A,Tidak
268,N/A,Desbrina Dini kusuma tri wardani,5,seminggu lalu,N/A,N/A,Tidak
269,N/A,Umi Siti,5,seminggu lalu,"esteticc, worit untuk nongkrong santai",N/A,Tidak
270,N/A,Theresia Diani Rosariana,5,seminggu lalu,N/A,N/A,Tidak
271,N/A,M. OKTAVIADIN,5,seminggu lalu,N/A,N/A,Tidak
272,N/A,Nur Afifah,5,seminggu lalu,N/A,N/A,Tidak
273,N/A,Setevenia Shandy Dwi Felisia [FBSB 2025],5,seminggu lalu,N/A,N/A,Tidak
274,N/A,Thalita Ayu,5,seminggu lalu,N/A,N/A,Tidak
275,N/A,Pingkan Mas,5,seminggu lalu,N/A,N/A,Tidak
276,N/A,Zahra Aa,5,seminggu lalu,N/A,N/A,Tidak
277,N/A,fariz surya,5,seminggu lalu,N/A,N/A,Tidak
278,N/A,Dimas Ardiansah,5,seminggu lalu,N/A,N/A,Tidak
279,N/A,Nicoadty Putra,5,seminggu lalu,N/A,N/A,Tidak
280,N/A,Aku Yulek,5,seminggu lalu,N/A,N/A,Tidak
281,N/A,Fifi Fitria,5,seminggu lalu,N/A,N/A,Tidak
282,N/A,Kurnia watii,5,seminggu lalu,N/A,N/A,Tidak
283,N/A,Nova Dwi,5,2 minggu lalu,tempat nya rekomennn gaissss baguss,N/A,Tidak
284,N/A,wulan anggreini,5,2 minggu lalu,N/A,N/A,Tidak
285,N/A,Indi Tuankotta,5,2 minggu lalu,"cafenya bagus, rekomendet bangat",N/A,Tidak
286,N/A,Aslam Tholib,5,2 minggu lalu,Pelayanan ramah,N/A,Tidak
287,N/A,fahri ahmad,5,2 minggu lalu,N/A,N/A,Tidak
288,N/A,Harun,5,2 minggu lalu,N/A,N/A,Tidak
289,N/A,Safira Rizqy,5,2 minggu lalu,"tempatnya keren, skena abissssss",N/A,Tidak
290,N/A,raiyakhalisaa,5,2 minggu lalu,"kakak syafa baik, ramah tadi bantuin minumanku tumpah😭🤍🩶🫰🏻",N/A,Tidak
291,N/A,Quinza Elfareta,5,2 minggu lalu,N/A,N/A,Tidak
292,N/A,Alin Dewi,5,2 minggu lalu,N/A,N/A,Tidak
293,N/A,Sungatimin Min,5,2 minggu lalu,N/A,N/A,Tidak
294,N/A,S,5,2 minggu lalu,N/A,N/A,Tidak
295,N/A,Ravina Maida,5,2 minggu lalu,N/A,N/A,Tidak
296,N/A,hamdan digdayah,5,2 minggu lalu,N/A,N/A,Tidak
297,N/A,Annis Satuz,5,2 minggu lalu,N/A,N/A,Tidak
298,N/A,Ganung Putra,5,2 minggu lalu,N/A,N/A,Tidak
299,N/A,aku plendus666,5,2 minggu lalu,N/A,N/A,Tidak
300,N/A,Ivanna Lady,5,2 minggu lalu,N/A,N/A,Tidak
301,N/A,hafidz ramadhan,5,2 minggu lalu,"Enak,dingin,keren dah pokoknyaa
Reqomen banget",N/A,Tidak
302,N/A,vita almajati,5,2 minggu lalu,N/A,N/A,Tidak
303,N/A,ulfaulpee,5,2 minggu lalu,N/A,N/A,Tidak
304,N/A,Affiza Aisha Putri,5,2 minggu lalu,N/A,N/A,Tidak
305,N/A,Fara Raihana,5,2 minggu lalu,N/A,N/A,Tidak
306,N/A,anggun permata,5,2 minggu lalu,N/A,N/A,Tidak
307,N/A,Dayinta Bunga,5,2 minggu lalu,N/A,N/A,Tidak
308,N/A,Winnie Amalia,5,2 minggu lalu,N/A,N/A,Tidak
309,N/A,safira alfi,5,2 minggu lalu,N/A,N/A,Tidak
310,N/A,Ferinda Nur,5,2 minggu lalu,jajak pendapat estetika,N/A,Tidak
311,N/A,Zaila Humairoh,5,2 minggu lalu,"tempatnya oke bangettt, pelayanannya bintang 1000/10, pokonyaa the besttt ❤️‍🔥❤️‍🔥",N/A,Tidak
312,N/A,Melisa 22,5,2 minggu lalu,N/A,N/A,Tidak
313,N/A,Okta Ramadhani,5,2 minggu lalu,nyaman tempatnya,N/A,Tidak
314,N/A,Agasta Sanjung,5,2 minggu lalu,"pelayanan nya super ramah, tempatnya bagus bgtt, rekomendd banget deh",N/A,Tidak
315,N/A,arfiann fian,5,2 minggu lalu,sangat enakk,N/A,Tidak
316,N/A,maulia soeja,5,2 minggu lalu,N/A,N/A,Tidak
317,N/A,wisnu Dharmaindra,5,2 minggu lalu,terbaik,N/A,Tidak
318,N/A,Andreas Lionel Kenkyo Ancelliano,5,2 minggu lalu,N/A,N/A,Tidak
319,N/A,charlotta daria fika,5,2 minggu lalu,N/A,N/A,Tidak
320,N/A,jenaisilveur,5,2 minggu lalu,N/A,N/A,Tidak
321,N/A,Kevin,5,2 minggu lalu,N/A,N/A,Tidak
322,N/A,bearr,5,2 minggu lalu,N/A,N/A,Tidak
323,N/A,8D_12_Mahesa Brian,5,2 minggu lalu,kalcelll banget,N/A,Tidak
324,N/A,E_34_Nuhidayah Sudirman,5,2 minggu lalu,N/A,N/A,Tidak
325,N/A,Niken Mustika,5,2 minggu lalu,N/A,N/A,Tidak
326,N/A,41_G_St khadija,5,2 minggu lalu,N/A,N/A,Tidak
327,N/A,Winda Ariesta,5,2 minggu lalu,N/A,N/A,Tidak
328,N/A,Thania Putri,5,2 minggu lalu,Tempatnya nyaman dan pelayanannya ramah,N/A,Tidak
329,N/A,Santrisma Santris15,5,2 minggu lalu,N/A,N/A,Tidak
330,N/A,A_Andi Bau Rezkia Nurzafardika Lologau,5,2 minggu lalu,N/A,N/A,Tidak
331,N/A,silvi ana dewi,5,2 minggu lalu,N/A,N/A,Tidak
332,N/A,Fitria ardita26,5,2 minggu lalu,N/A,N/A,Tidak
333,N/A,Ardian abdul,5,2 minggu lalu,N/A,N/A,Tidak
334,N/A,Alifinia Putri,5,2 minggu lalu,N/A,N/A,Tidak
335,N/A,Vita Anggita,5,2 minggu lalu,N/A,N/A,Tidak
336,N/A,Furqon galih,5,2 minggu lalu,N/A,N/A,Tidak
337,N/A,Uswatun Khasanah,5,2 minggu lalu,N/A,N/A,Tidak
338,N/A,Syafa Raissa Nadzira,5,2 minggu lalu,N/A,N/A,Tidak
339,N/A,adinda Yusra purba,5,2 minggu lalu,N/A,N/A,Tidak
340,N/A,Yohana Uniwaly,5,2 minggu lalu,N/A,N/A,Tidak
341,N/A,Ιαιαα,5,2 minggu lalu,kueaaaaaa,N/A,Tidak
342,N/A,Riska Uswatun chasana,5,2 minggu lalu,N/A,N/A,Tidak
343,N/A,Emylia Azna,5,2 minggu lalu,N/A,N/A,Tidak
344,N/A,Boss Marijan,4,2 minggu lalu,N/A,N/A,Tidak
345,N/A,Ninda tri.,5,2 minggu lalu,N/A,N/A,Tidak
346,N/A,2. Ela Adevy Lucky,5,2 minggu lalu,N/A,N/A,Tidak
347,N/A,Fernandha Ardhyan Eka Rhestanova,5,2 minggu lalu,N/A,N/A,Tidak
348,N/A,Melda Yuliana,5,2 minggu lalu,N/A,N/A,Tidak
349,N/A,lindazulla zulla,5,2 minggu lalu,N/A,N/A,Tidak
350,N/A,Akudani Akudani,5,2 minggu lalu,N/A,N/A,Tidak
351,N/A,Abellliya,5,2 minggu lalu,N/A,N/A,Tidak
352,N/A,heni nur,5,2 minggu lalu,N/A,N/A,Tidak
353,N/A,Qonita Miftahul Jannah,5,2 minggu lalu,Sangat enak dan nyaman tempatnya,N/A,Tidak
354,N/A,ERMANIA CHOBELIA F,5,2 minggu lalu,N/A,N/A,Tidak
355,N/A,Casa Nabila,5,2 minggu lalu,tempatnya bagus pelayanan ramah rekomendasi buat ngopi disinii,N/A,Tidak
356,N/A,atikah ramadani,5,2 minggu lalu,N/A,N/A,Tidak
357,N/A,Galeri Eta2,5,2 minggu lalu,N/A,N/A,Tidak
358,N/A,ika yuliana,5,2 minggu lalu,N/A,N/A,Tidak
359,N/A,Binti Nafisah,5,2 minggu lalu,cozy banget,N/A,Tidak
360,N/A,Keyla Anindya,5,2 minggu lalu,N/A,N/A,Tidak
361,N/A,Dini Rachmawati,5,2 minggu lalu,tempatnya menarik dan luas,N/A,Tidak
362,N/A,Evita Candra,5,2 minggu lalu,N/A,N/A,Tidak
363,N/A,Danendra Santosa,5,2 minggu lalu,N/A,N/A,Tidak
364,N/A,vanno tytt,5,2 minggu lalu,N/A,N/A,Tidak
365,N/A,yolandita ayu,5,2 minggu lalu,N/A,N/A,Tidak
366,N/A,Alfina Sherly,5,2 minggu lalu,spot fotonya banyak,N/A,Tidak
367,N/A,Nabila Alyasyifa,5,2 minggu lalu,N/A,N/A,Tidak
368,N/A,Rafa Adil,5,2 minggu lalu,Bagus,N/A,Tidak
369,N/A,Dimascil Dimasagus,5,2 minggu lalu,N/A,N/A,Tidak
