no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
117,N/A,Bad ForYou,5,5 hari lalu,N/A,N/A,Tidak
118,N/A,Putra Danisa Muhammad Dava,5,5 hari lalu,N/A,N/A,Tidak
119,N/A,erfio egaa,5,5 hari lalu,pengalaman yang baik,N/A,Tidak
120,N/A,Puji surohman,5,5 hari lalu,N/A,N/A,Tidak
121,N/A,Atarafi Fadilah,5,5 hari lalu,N/A,N/A,Tidak
122,N/A,ptakbar jayateknik,5,5 hari lalu,N/A,N/A,Tidak
123,N/A,Arif Rizqy Arafat,5,5 hari lalu,N/A,N/A,Tidak
124,N/A,Nivalya neyan muflihul fatin,5,5 hari lalu,N/A,N/A,Tidak
125,N/A,Galih Ekaoktv,5,5 hari lalu,N/A,N/A,Tidak
126,N/A,Raje,5,5 hari lalu,N/A,N/A,Tidak
127,N/A,DRW,5,5 hari lalu,c28 adalah rumah kedua ✋😹🤚,N/A,Tidak
128,N/A,Nabella Rezkika Putri,5,6 hari lalu,N/A,N/A,Tidak
129,N/A,Galang Reksy Saputra,5,6 hari lalu,N/A,N/A,Tidak
130,N/A,njirrrxe 1990,5,6 hari lalu,N/A,N/A,Tidak
131,N/A,Heru Abi Furi,5,6 hari lalu,N/A,N/A,Tidak
132,N/A,Widiya Damayanti,5,6 hari lalu,N/A,N/A,Tidak
133,N/A,Rofi Dicky Wharrdiyono,5,6 hari lalu,N/A,N/A,Tidak
134,N/A,Areta Tsabitha Salsabila,5,6 hari lalu,N/A,N/A,Tidak
135,N/A,athaya nayla,5,6 hari lalu,N/A,N/A,Tidak
136,N/A,Fathur Rzx,5,6 hari lalu,N/A,N/A,Tidak
137,N/A,Ryzka Allya,5,6 hari lalu,N/A,N/A,Tidak
138,N/A,karomatul Filiyah,5,6 hari lalu,N/A,N/A,Tidak
139,N/A,Cucu Borg,5,6 hari lalu,N/A,N/A,Tidak
140,N/A,Wulan Ayu Haryadinatta,5,6 hari lalu,N/A,N/A,Tidak
141,N/A,Galuh Chandra Kirana,5,6 hari lalu,kopinya enak tempatnya cozyyy,N/A,Tidak
142,N/A,Riski Samsiyani,5,6 hari lalu,N/A,N/A,Tidak
143,N/A,M Ari Gunawan,5,6 hari lalu,N/A,N/A,Tidak
144,N/A,Widya Heri Oktaviani,5,6 hari lalu,N/A,N/A,Tidak
145,N/A,Kkn13 Unimus,5,6 hari lalu,N/A,N/A,Tidak
146,N/A,hela rasita,5,6 hari lalu,N/A,N/A,Tidak
147,N/A,Nisaa Ul,5,6 hari lalu,N/A,N/A,Tidak
148,N/A,tine aqda,5,6 hari lalu,N/A,N/A,Tidak
149,N/A,Claa Lawrence,5,6 hari lalu,N/A,N/A,Tidak
150,N/A,liaa liyokk,5,6 hari lalu,N/A,N/A,Tidak
151,N/A,Mstar Kiboy,5,6 hari lalu,N/A,N/A,Tidak
152,N/A,Syifaanindra Salma Khoirunnissa,5,6 hari lalu,N/A,N/A,Tidak
153,N/A,Adhitia,5,6 hari lalu,N/A,N/A,Tidak
154,N/A,fitha nurul,5,6 hari lalu,N/A,N/A,Tidak
155,N/A,19.Maulana Tirta Abyasa 7B,5,6 hari lalu,Keren,N/A,Tidak
156,N/A,Willy Syahputra,5,6 hari lalu,N/A,N/A,Tidak
157,N/A,Kofela Yoyo,5,6 hari lalu,"Kak enggar dan kak aras ramah banget ,murah senyum da best pokoke",N/A,Tidak
158,N/A,Razzan Ramadhan,5,6 hari lalu,N/A,N/A,Tidak
159,N/A,Obby ReaL,5,6 hari lalu,N/A,N/A,Tidak
160,N/A,Andy Setiawan,5,6 hari lalu,N/A,N/A,Tidak
161,N/A,Selamet Erfianda,5,6 hari lalu,N/A,N/A,Tidak
162,N/A,X Lixir,5,seminggu lalu,tempatnya rapi bersih nyaman,N/A,Tidak
163,N/A,darad 21 21,5,seminggu lalu,makananya enak tempatnya juga nyaman,N/A,Tidak
164,N/A,Argenta Maulana,5,seminggu lalu,Kedai kopi terwell,N/A,Tidak
165,N/A,fauziah dwr,5,seminggu lalu,nyaman tempatnya,N/A,Tidak
166,N/A,aldila wulan,5,seminggu lalu,N/A,N/A,Tidak
167,N/A,Vischa Nada Syahida,5,seminggu lalu,N/A,N/A,Tidak
168,N/A,pretie deis,5,seminggu lalu,N/A,N/A,Tidak
169,N/A,AkatsukiRico,5,seminggu lalu,Bagus bagus,N/A,Tidak
170,N/A,Rina Feb,5,seminggu lalu,N/A,N/A,Tidak
171,N/A,Dika Setiarto Nugroho,5,seminggu lalu,N/A,N/A,Tidak
172,N/A,Akbar Rois Shihab,5,seminggu lalu,Tempat nyaman buat nongkrong,N/A,Tidak
173,N/A,vikky loka,5,seminggu lalu,N/A,N/A,Tidak
174,N/A,oca violint,5,seminggu lalu,keren,N/A,Tidak
175,N/A,Novian B. Saputra,5,seminggu lalu,N/A,N/A,Tidak
176,N/A,Andhikha Wahyu Kurniawan,5,seminggu lalu,N/A,N/A,Tidak
177,N/A,Dream To,5,seminggu lalu,N/A,N/A,Tidak
178,N/A,Dian Ayudiningtyas,5,seminggu lalu,enak buat nongki,N/A,Tidak
179,N/A,Iam AkMal Rofi,5,seminggu lalu,Mantaapppppppp,N/A,Tidak
180,N/A,Fajr Pujiyantoro,5,seminggu lalu,N/A,N/A,Tidak
181,N/A,Dewi Ayati,5,seminggu lalu,N/A,N/A,Tidak
182,N/A,Estri Yuningsih,5,seminggu lalu,N/A,N/A,Tidak
183,N/A,Alfina Prabawanti,5,seminggu lalu,N/A,N/A,Tidak
184,N/A,Tedy Prasetyo Nurazis,5,seminggu lalu,N/A,N/A,Tidak
185,N/A,Istiaanaa _,5,seminggu lalu,N/A,N/A,Tidak
186,N/A,Elisa karunia,5,seminggu lalu,N/A,N/A,Tidak
187,N/A,DARK POWER,5,seminggu lalu,N/A,N/A,Tidak
188,N/A,Winda Amilia,5,seminggu lalu,N/A,N/A,Tidak
189,N/A,Khanifatun Nisa',5,seminggu lalu,N/A,N/A,Tidak
190,N/A,ney,5,seminggu lalu,N/A,N/A,Tidak
191,N/A,Myday Desik,5,seminggu lalu,N/A,N/A,Tidak
192,N/A,Rizka Audynaa,5,seminggu lalu,N/A,N/A,Tidak
193,N/A,Raisha Salza,5,seminggu lalu,"Tempatnya oke, pelayanannya oke, makanan minumannya juga oke",N/A,Tidak
194,N/A,khayla amira,5,seminggu lalu,Tempatnya nyamann banget buat nongkrong,N/A,Tidak
195,N/A,Fachri Rizky,5,seminggu lalu,enak banget tempatnyaa,N/A,Tidak
196,N/A,Setiyono Broto,5,seminggu lalu,N/A,N/A,Tidak
197,N/A,Khoirul Nur,5,seminggu lalu,N/A,N/A,Tidak
198,N/A,Novi Indriani,5,seminggu lalu,N/A,N/A,Tidak
199,N/A,Zoeyy Zoeyy,5,seminggu lalu,N/A,N/A,Tidak
200,N/A,anggraeni meisya,5,seminggu lalu,N/A,N/A,Tidak
201,N/A,Khoirul Iqbal,5,seminggu lalu,N/A,N/A,Tidak
202,N/A,Erni puspita97,5,seminggu lalu,Tempatnya nyaman dan estetik bangettt,N/A,Tidak
203,N/A,selvia Espinada,5,seminggu lalu,"Tempatnya sangat nyaman untuk nongkrong, banyak spot untuk foto dan f&b nya enak poll",N/A,Tidak
204,N/A,Hakim Mufid,5,seminggu lalu,N/A,N/A,Tidak
205,N/A,Bagus arya Saputra,5,seminggu lalu,N/A,N/A,Tidak
206,N/A,Tohari,5,seminggu lalu,N/A,N/A,Tidak
207,N/A,Rifka Nadifa Azzahra [FIP 2025],5,seminggu lalu,N/A,N/A,Tidak
208,N/A,Ida Amirotun Nisa',5,seminggu lalu,"tempatnya nyaman bangett, pelayananya ramahh, matchaanya enakk suka",N/A,Tidak
