no,nama_tempat,nama_reviewer,rating,tanggal,ulasan,jumlah_ulasan_reviewer,foto
95,N/A,mickey mouse,3,5 hari lalu,"🛕Segi tempat :  nyaman, luas, dan jika membawa keluarga tempatnya mencukupi.
🧀Segi makanan : cheese cake perpaduan manis dan gurihnya cukup, sedikit terlalu padat untuk texture kuenya. Namun enak dan bisa dinikmati.
🍨Segi gelato : untuk rasanya cenderung manis-manis. Tapi lengkap untuk varian rasanya dari buah-buahan dan yang perpaduan dengan susu. Untuk Kyoto Matcha, Pistachio, dan Ferrero enak-enak semua. Karena ada rasa pahit Kyoto Matchanya bisa netralkan rasa manis dari varian gelato lainnya. The best Kyoto Matcha nya 👍🏻👍🏻👍🏻
🙋🏻‍♂️Segi service staff : Jujur pelayanan dari karyawannya kurang memuaskan. Dari pengalaman saya pribadi, saya datang bersama keluarga dan semua beli gelato, coffee, dan pastry. (Walaupun tidak semua saya post fotonya)
Pelayanan karyawannya tidak baik kepada customer judes dan jutek, bahkan whispering ke sesama staff yang sedang melayani dan didepan customer.  “The staff are not trained properly.” Terutama mas yang postur tubuhnya paling tinggi diantara lainnya, juga karyawan perempuan yang berjilbab.
Justru yang paling baik saat itu adalah karyawan yang sedang training.
Saya pesan MK Signature dengan 3 rasa. Pertama gelato saya diambilkan oleh karyawan training, kemudian diambil alih karyawan perempuan yang berjilbab.
Jelas karyawan training baru mengambilkan 1 rasa. Dan dia si perempuan mengambilkan rasa gelato pilihan yang kedua. Dari sini dia menipu saya mengatakan gelatonya sudah semua.
Saya baru menyebut 2 rasa, tapi karyawan perempuan itu menyudahi dan bilang sudah cukup. Jelas saya belum mendapatkan varian pilihan yang ke 3.
Kenapa karyawannya dilatih untuk tidak berkata jujur?
Disini customer itu membeli bukan meminta.

Bagi saya cukup sekali saja kesini, jujur sangat-sangat kecewa dengan pelayanan karyawan dibagian gelato.

Untuk bagian coffee dan pastry, sudah sangat baik pelayanannya.

Tolong diperbaiki manner para karyawan di bagian gelato.
Sayang sekali tempatnya sudah sangat nyaman dan lengkap. Tapi citranya dirusak oleh segilintir karyawan yang pelayanannya kurang baik.",N/A,Tidak
96,N/A,Desty P,5,5 hari lalu,Nice ambience! The gelato is worth the price! Murah tp ga murahannn.. kok bisa sihh 😍,N/A,Tidak
97,N/A,Jessy Magdalena,5,5 hari lalu,Tempat nya sangat nyaman buat nongki nongki bareng keluarga. Gelato nya juga enak top markotop...,N/A,Tidak
98,N/A,haya aribah,5,5 hari lalu,N/A,N/A,Tidak
99,N/A,Nafisajida,5,5 hari lalu,N/A,N/A,Tidak
100,N/A,Chriszella Dusay,5,5 hari lalu,"Tempatnya nyaman, layanannya bagus, dan saya suka rasa Pistachio sangat rekomend.",N/A,Tidak
101,N/A,Merlin Mei Yotha,5,5 hari lalu,"Aku melihat tempat ini di TikTok dan karena aku suka gelato, aku memutuskan untuk mengunjungi tempat ini dan aku menyukainya, rasa andalannya benar-benar enak, mungkin aku akan mengunjungi tempat ini lagi di masa depan.
Ngomong-ngomong, Mas Diaz memberi kami segelas air, dia orang yang baik.",N/A,Tidak
102,N/A,Destya Golioth,5,5 hari lalu,N/A,N/A,Tidak
103,N/A,Monica Tatiana,5,5 hari lalu,"Ketiga kali ke sini dan selalu happy karena gelatonya enak pwol 🍦 & pelayanannya bagus banget, terutama Mas Diaz (GRO Michael Kreme) yg ramah 😍 Btw rasa favoriteku Match Pistachio ✅",N/A,Tidak
104,N/A,Nur Hasna Nafiisah,5,5 hari lalu,"Gelatonya terbaikkk, tempatnya nyaman buat ngobrol, mas Diaz (GRO) ramah sekaliii baikkk bangetttt 😍✨",N/A,Tidak
105,N/A,Novianti Ika Widyaningsih,5,5 hari lalu,Kak Diaz ramah dan melayani dengan baik,N/A,Tidak
106,N/A,Mochammad Hanif Ramadhan,5,6 hari lalu,"Tempatnya nyaman, harga gelatonya juga terhitung murah. Pelayanannya ramah, dilayani oleh mas Diaz",N/A,Tidak
107,N/A,RACHMA NUR HIDAYANTI,5,6 hari lalu,"Michael Kreme Gelato mah gak pernah miss — gelatonya creamy parah, plus staffnya sooo friendly & helpful Mas Diaz.. Pelayanannya prime banget, vibes-nya bikin balik lagi tanpa mikir!",N/A,Tidak
108,N/A,Lisa Darmawanti,5,6 hari lalu,"Tempatnya nyaman, pelayanan ramahh ❤️",N/A,Tidak
109,N/A,Laila Nurrahmah,5,6 hari lalu,Pelayanan sangat ramahh,N/A,Tidak
110,N/A,Anindita Nawangsari,5,6 hari lalu,"Eskrimnya enak, makanan lain juga enaakk. pelayanan ramah terutama mas dias, suasananya oke. Pokoknya mantap👍",N/A,Tidak
111,N/A,31. Endang Sukmawati,5,6 hari lalu,"Menunya enak, suasananya nyaman, pelayanannya juga ramah terutama untuk mas Dias.",N/A,Tidak
112,N/A,Retno Delia,5,6 hari lalu,"eskrimnya enakk tidak enegg sama sekalii, apalagi varian buahnya seger bangetttt… tempatnya aesthetic dann nyaman.. banyak spot foto yang gen z banget…
btw kak diaz salah satu pegawainya juga ramah sekali, thank uu kakkk",N/A,Tidak
113,N/A,Melia Fransiska,5,6 hari lalu,"es krim nya seger, tempat yang fancy, juga crew yang sangatt ramah bangettt",N/A,Tidak
114,N/A,Rizal Wahyu Pangestu,5,6 hari lalu,N/A,N/A,Tidak
115,N/A,Buyung Wahyu H.,4,6 hari lalu,N/A,N/A,Tidak
116,N/A,Retno Intansari,5,seminggu lalu,Atmosfer yang baik,N/A,Tidak
117,N/A,Maulidaninta Nayla,5,Diedit seminggu lalu,es creamnya enak dan tempatnya pw,N/A,Tidak
118,N/A,Tabita,5,seminggu lalu,"mbaknya ramahh, gelatonya enak apalagi yang pistachio sama rujak kweni💯",N/A,Tidak
119,N/A,Tiffany Victoria,5,seminggu lalu,"mba""nya baiiikk bangettt dan ramahh bgtt, duh bintangg 5🌟🌟🌟🌟🌟",N/A,Tidak
120,N/A,prisca putri,5,seminggu lalu,selalu kesini tiap craving ice cream dan tempatnya super nyaman,N/A,Tidak
121,N/A,Alisa Dwi Cantika,5,seminggu lalu,"Gelatonya enak banget, teksturnya halus dan gampang meleleh di mulut. Rasa coklatnya rich, tapi tetap ringan. Untuk yang fruity juga seger, kayak bener-bener dari buah asli. Tempatnya bersih, pelayanannya ramah, dan harganya masih masuk akal. Worth it buat dikunjungi lagi.",N/A,Tidak
122,N/A,Mifta nur Budiyanti,5,seminggu lalu,"Tempatnya bestt banget buat nongkrong, pelayanan juga okee bangett dibantu sama kak indah… tempat duduknya juga banyak dan parkiran luas",N/A,Tidak
123,N/A,strvngrrr 06,5,seminggu lalu,"gelato enak recomend buat anak² , karna enak ga sempet foto wkwkkw",N/A,Tidak
124,N/A,aka cupu,5,seminggu lalu,Pelayanan kak Darel dan indah oke banget,N/A,Tidak
125,N/A,ardiansyah,5,seminggu lalu,mas darel dan mba indah terbaik pelayananya,N/A,Tidak
126,N/A,Yenni Fatma,5,seminggu lalu,Pelayanan darel dan indah baik disini dan makanannya enak2,N/A,Tidak
127,N/A,Elsa Guntari,5,seminggu lalu,"Tempatnya estetik, so far setiap lokasi bisa banget buat foto"" dan pilihan gelatonya banyak variannya, gelatonya juga enakk🫶🏻",N/A,Tidak
128,N/A,Stella Nadia,5,seminggu lalu,Kegembiraan kecil hadir dalam bentuk sendok.,N/A,Tidak
129,N/A,crazy little thrift,5,seminggu lalu,🫰🏻🥰,N/A,Tidak
130,N/A,48 Christoporus Alrivano,5,seminggu lalu,Enak dan lezat,N/A,Tidak
131,N/A,Monicha Shinta,5,seminggu lalu,mantap toppp is the bestt🤩👍🏻,N/A,Tidak
132,N/A,Sherly Primavita,5,seminggu lalu,"Tempatnya enak banget buat nongkrong, kids friendly, gelatonya enak🥰🥰",N/A,Tidak
133,N/A,Zhafira Azka Ramadhani,5,seminggu lalu,"rasanya super duper banyakk dan enak enakk, pelayanannya juga sangat ramah, tempatnya bersih dan comfyy",N/A,Tidak
134,N/A,Atina Sabila Rahma,5,seminggu lalu,"Gelatonya enak, tempatnya nyaman, vibesnya kekinian, karyawannya ramah2 semua",N/A,Tidak
135,N/A,Azizah Puspo Sari,5,seminggu lalu,"pelayanannya sangat ramah, pas dikantong sesuai dengan porsinya👍👍👍 …",N/A,Tidak
136,N/A,alvina rahayu,5,seminggu lalu,banyak variant pelayanan baik dan ramah,N/A,Tidak
137,N/A,Jihan Yumaytha Almaas,5,seminggu lalu,rasa sangat pas tidak terlalu manis. vibes sangat cocok untuk nongkrong bersama teman2,N/A,Tidak
138,N/A,Galuh Zahwa,5,Diedit seminggu lalu,enak🫶🏻,N/A,Tidak
139,N/A,Raindras Dilla Arsa,5,seminggu lalu,pelayanannya bagus dan gelatonya enak banget🍦💖 …,N/A,Tidak
140,N/A,Cut Khansa Rayyna,5,seminggu lalu,"enak bgt apalagi varian earl grey pistachio nya, definitely kesini lg kalau ke jogja",N/A,Tidak
141,N/A,amelly raysa,5,seminggu lalu,N/A,N/A,Tidak
142,N/A,Shindy Cahyairani,5,seminggu lalu,"Tempatnya enak, pelayanannya oke, bersih dan nyaman banget, es creamnya enakk",N/A,Tidak
143,N/A,disap project,5,seminggu lalu,es krimnya enak bangettt⭐⭐⭐⭐⭐,N/A,Tidak
