username,comment,time,tokens,cleaned_tokens,filtered_tokens
@rnsrns2640,​ @musafiradventure  iya jg ngk tau. kn blum ada yg bisa buktiin.,2 hari yang lalu,"['\u200b', '@', 'musafiradventure', 'iya', 'jg', 'ngk', 'tau', '.', 'kn', 'blum', 'ada', 'yg', 'bisa', 'buktiin', '.']","['musafiradventure', 'iya', 'jg', 'ngk', 'tau', 'kn', 'blum', 'ada', 'yg', 'bisa', 'buktiin']","['musafiradventure', 'iya', 'jg', 'ngk', 'tau', 'kn', 'blum', 'yg', 'buktiin']"
@rumahbermainceria,wkwkwkwkwk gw ngakakkkk,2 hari yang lalu,"['wkwkwkwkwk', 'gw', 'ngakakkkk']","['wkwkwkwkwk', 'gw', 'ngakakkkk']","['wkwkwkwkwk', 'gw', 'ngakakkkk']"
@kristinwicaksony1401,nah sepemikiran 😂,2 hari yang lalu,"['nah', 'sepemikiran', '😂']","['nah', 'sepemikiran']",['sepemikiran']
@wsport-d7c,besok di tangkap dong,2 hari yang lalu,"['besok', 'di', 'tangkap', 'dong']","['besok', 'di', 'tangkap', 'dong']","['besok', 'tangkap']"
@nightgamingpk,walah😂😂😂,2 hari yang lalu,['walah😂😂😂'],['walah'],['walah']
@rafiputrab01,gua kira gua doang yg berpikir begini 😂😂,2 hari yang lalu,"['gua', 'kira', 'gua', 'doang', 'yg', 'berpikir', 'begini', '😂😂']","['gua', 'kira', 'gua', 'doang', 'yg', 'berpikir', 'begini']","['gua', 'gua', 'doang', 'yg', 'berpikir']"
@sobatnonton6245,bisa jadi temennya🎉🎉🎉,1 hari yang lalu,"['bisa', 'jadi', 'temennya🎉🎉🎉']","['bisa', 'jadi', 'temennya']",['temennya']
@gwajakagaktauapalagielu,hidup lu apa² plot twist ya bang?😂,1 hari yang lalu,"['hidup', 'lu', 'apa²', 'plot', 'twist', 'ya', 'bang', '?', '😂']","['hidup', 'lu', 'apa', 'plot', 'twist', 'ya', 'bang']","['hidup', 'lu', 'plot', 'twist', 'bang']"
@ayuyulistyanti2451,"jadi om ded ini podcast sama ni org ada penyelidikan juga kayanya 🫣 , secara beliau jago baca karakter org2 . jago baca fikiran org wkwk .",1 hari yang lalu,"['jadi', 'om', 'ded', 'ini', 'podcast', 'sama', 'ni', 'org', 'ada', 'penyelidikan', 'juga', 'kayanya', '\U0001fae3', ',', 'secara', 'beliau', 'jago', 'baca', 'karakter', 'org2', '.', 'jago', 'baca', 'fikiran', 'org', 'wkwk', '.']","['jadi', 'om', 'ded', 'ini', 'podcast', 'sama', 'ni', 'org', 'ada', 'penyelidikan', 'juga', 'kayanya', 'secara', 'beliau', 'jago', 'baca', 'karakter', 'org2', 'jago', 'baca', 'fikiran', 'org', 'wkwk']","['om', 'ded', 'podcast', 'ni', 'org', 'penyelidikan', 'kayanya', 'beliau', 'jago', 'baca', 'karakter', 'org2', 'jago', 'baca', 'fikiran', 'org', 'wkwk']"
@citibrend,wkwk menit 6.17  itu termasuk pertanyaan psikologi sbnernya,1 hari yang lalu,"['wkwk', 'menit', '6.17', 'itu', 'termasuk', 'pertanyaan', 'psikologi', 'sbnernya']","['wkwk', 'menit', '617', 'itu', 'termasuk', 'pertanyaan', 'psikologi', 'sbnernya']","['wkwk', 'menit', '617', 'psikologi', 'sbnernya']"
@arf_far8675,sy juga kepikiran bgitu😅,22 jam yang lalu,"['sy', 'juga', 'kepikiran', 'bgitu😅']","['sy', 'juga', 'kepikiran', 'bgitu']","['sy', 'kepikiran', 'bgitu']"
